Wayfair PE Ratio Historical Data,Wayfair PE Ratio Historical Data,Wayfair PE Ratio Historical Data,Wayfair PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.57,,0.0
2024-03-31,67.88,$-5.36,0.0
2023-12-31,61.7,$-6.52,0.0
2023-09-30,60.57,$-8.29,0.0
2023-06-30,65.01,$-9.55,0.0
2023-03-31,34.34,$-12.73,0.0
2022-12-31,32.89,$-12.55,0.0
2022-09-30,32.55,$-11.21,0.0
2022-06-30,43.56,$-9.30,0.0
2022-03-31,110.78,$-4.57,0.0
2021-12-31,189.97,$-1.30,0.0
2021-09-30,255.51,$2.29,111.58
2021-06-30,315.71,$5.58,56.58
2020-12-31,225.81,$1.40,161.29
2020-09-30,291.01,$-2.37,0.0
2020-06-30,197.61,$-6.98,0.0
2020-03-31,53.44,$-11.72,0.0
2019-12-31,90.37,$-10.27,0.0
2019-09-30,112.12,$-8.42,0.0
2019-03-31,148.45,$-6.61,0.0
2018-12-31,90.08,$-5.63,0.0
2018-09-30,147.67,$-4.87,0.0
2018-06-30,118.76,$-4.06,0.0
2018-03-31,67.53,$-3.38,0.0
2017-12-31,80.27,$-2.82,0.0
2017-09-30,67.4,$-2.50,0.0
2017-06-30,76.88,$-2.34,0.0
2017-03-31,40.49,$-2.46,0.0
2016-12-31,35.05,$-2.29,0.0
2016-09-30,39.37,$-1.96,0.0
2016-06-30,39.0,$-1.42,0.0
2016-03-31,43.22,$-1.08,0.0
2015-12-31,47.62,$-0.92,0.0
2015-09-30,35.06,$-1.47,0.0
2015-06-30,37.64,$-3.27,0.0
2015-03-31,32.12,$-3.38,0.0
2014-12-31,19.85,$-2.89,0.0
