NIO PE Ratio Historical Data,NIO PE Ratio Historical Data,NIO PE Ratio Historical Data,NIO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.15,,0.0
2024-06-30,4.16,$-1.52,0.0
2024-03-31,4.5,$-1.69,0.0
2023-12-31,9.07,$-1.75,0.0
2023-09-30,9.04,$-1.81,0.0
2023-06-30,9.69,$-1.80,0.0
2023-03-31,10.51,$-1.54,0.0
2022-12-31,9.75,$-1.30,0.0
2022-09-30,15.77,$-1.00,0.0
2022-06-30,21.72,$-0.92,0.0
2022-03-31,21.05,$-0.74,0.0
2021-12-31,31.68,$-1.04,0.0
2021-09-30,35.63,$-0.99,0.0
2021-06-30,53.2,$-0.85,0.0
2021-03-31,38.98,$-0.94,0.0
2020-12-31,48.74,$-0.69,0.0
2020-09-30,21.22,$-0.93,0.0
2020-06-30,7.72,$-1.14,0.0
2020-03-31,2.78,$-1.45,0.0
2019-12-31,4.02,$-1.60,0.0
2019-09-30,1.56,$-7.40,0.0
