PureCycle Technologies PE Ratio Historical Data,PureCycle Technologies PE Ratio Historical Data,PureCycle Technologies PE Ratio Historical Data,PureCycle Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.98,,0.0
2024-06-30,5.92,$-0.96,0.0
2024-03-31,6.22,$-1.02,0.0
2023-12-31,4.05,$-0.66,0.0
2023-09-30,5.61,$-0.56,0.0
2023-06-30,10.69,$-0.77,0.0
2023-03-31,7.0,$-0.51,0.0
2022-12-31,6.76,$-0.54,0.0
2022-09-30,8.07,$-0.63,0.0
2022-06-30,7.42,$-0.60,0.0
2022-03-31,8.0,$-0.64,0.0
2021-12-31,9.57,$-1.04,0.0
2021-09-30,13.28,$-0.90,0.0
2021-06-30,23.65,$-0.72,0.0
