Bicycle Therapeutics PE Ratio Historical Data,Bicycle Therapeutics PE Ratio Historical Data,Bicycle Therapeutics PE Ratio Historical Data,Bicycle Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.74,,0.0
2024-06-30,20.24,$-3.81,0.0
2024-03-31,24.9,$-4.45,0.0
2023-12-31,18.08,$-5.13,0.0
2023-09-30,20.09,$-4.98,0.0
2023-06-30,25.52,$-4.68,0.0
2023-03-31,21.27,$-4.17,0.0
2022-12-31,29.6,$-3.80,0.0
2022-09-30,23.26,$-3.42,0.0
2022-06-30,16.78,$-3.05,0.0
2022-03-31,43.88,$-2.89,0.0
2021-12-31,60.87,$-2.69,0.0
2021-09-30,41.59,$-2.89,0.0
2021-06-30,30.36,$-2.82,0.0
2021-03-31,29.87,$-2.75,0.0
2020-12-31,17.95,$-2.65,0.0
2020-09-30,19.05,$-2.07,0.0
2020-06-30,15.74,$-2.08,0.0
2020-03-31,13.65,$-2.81,0.0
