Barnes PE Ratio Historical Data,Barnes PE Ratio Historical Data,Barnes PE Ratio Historical Data,Barnes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.53,,0.0
2024-06-30,41.24,$-1.16,0.0
2024-03-31,36.99,$0.09,411.04
2023-12-31,32.35,$0.31,104.36
2023-09-30,33.47,$0.47,71.22
2023-06-30,41.4,$1.23,33.66
2023-03-31,39.37,$0.11,357.89
2022-12-31,39.78,$0.40,99.44
2022-09-30,28.01,$0.65,43.09
2022-06-30,30.05,$0.80,37.57
2021-12-31,44.6,$1.96,22.76
2021-09-30,39.81,$1.76,22.62
2021-06-30,48.73,$1.61,30.27
2021-03-31,46.96,$1.43,32.84
2020-12-31,47.91,$1.06,45.2
2022-03-31,38.61,$1.29,29.93
2020-09-30,33.67,$1.69,19.92
2020-06-30,37.11,$2.28,16.28
2020-03-31,39.07,$3.00,13.02
2019-12-31,57.71,$3.07,18.8
2019-09-30,47.88,$3.02,15.85
2019-06-30,52.14,$2.88,18.1
2019-03-31,47.44,$3.08,15.4
2018-12-31,49.35,$3.15,15.67
2018-09-30,65.19,$1.30,50.15
2018-06-30,53.93,$1.20,44.94
2018-03-31,54.69,$1.09,50.18
2017-12-31,57.65,$1.07,53.88
2017-09-30,64.05,$2.84,22.55
2017-06-30,53.1,$2.86,18.56
2017-03-31,46.46,$2.65,17.53
2016-12-31,42.8,$2.48,17.26
2016-09-30,36.49,$2.25,16.22
2016-06-30,29.71,$2.19,13.57
2016-03-31,31.31,$2.19,14.29
2015-12-31,31.51,$2.23,14.13
2015-09-30,32.0,$2.40,13.33
2015-06-30,34.5,$2.33,14.81
2014-12-31,32.55,$2.13,15.28
2014-09-30,26.61,$2.04,13.04
2014-06-30,33.68,$1.95,17.27
2014-03-31,33.52,$1.79,18.73
2013-12-31,33.28,$5.20,6.4
2015-03-31,35.72,$4.96,7.2
2013-09-30,30.25,$4.98,6.07
2013-06-30,25.89,$4.94,5.24
2013-03-31,24.89,$1.57,15.85
2012-12-31,19.25,$1.73,11.13
2012-09-30,21.33,$1.19,17.93
2012-06-30,20.63,$1.26,16.38
2012-03-31,22.25,$1.21,18.39
2011-12-31,20.32,$1.15,17.67
2011-09-30,16.15,$1.36,11.88
2011-06-30,20.75,$1.22,17.0
2011-03-31,17.4,$1.08,16.11
2010-12-31,17.16,$0.95,18.06
2010-09-30,14.54,$0.85,17.11
2010-06-30,13.48,$0.78,17.28
2010-03-31,15.93,$0.71,22.43
2009-12-31,13.77,$0.72,19.12
