TJX PE Ratio Historical Data,TJX PE Ratio Historical Data,TJX PE Ratio Historical Data,TJX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,117.27,,36.88
2024-07-31,112.64,$3.18,35.42
2024-04-30,93.42,$4.03,23.18
2024-01-31,93.91,$3.86,24.33
2023-10-31,86.82,$3.53,24.6
2023-07-31,84.98,$3.41,24.92
2023-04-30,77.08,$3.25,23.72
2023-01-31,79.76,$3.27,24.39
2022-10-31,69.95,$3.22,21.72
2022-07-31,59.06,$2.95,20.02
2022-01-31,68.88,$2.70,25.51
2021-10-31,62.45,$2.19,28.51
2021-07-31,65.37,$1.84,35.53
2021-04-30,67.2,$1.91,35.19
2021-01-31,60.39,$1.29,46.81
2022-04-30,58.86,$0.28,210.23
2020-10-31,47.9,$0.60,79.84
2020-07-31,49.02,$0.57,86.01
2020-04-30,46.25,$1.37,33.76
2020-01-31,55.47,$2.68,20.7
2019-10-31,53.95,$2.55,21.16
2019-07-31,51.06,$2.48,20.59
2019-04-30,51.14,$2.45,20.91
2019-01-31,46.16,$2.44,18.92
2018-10-31,50.8,$2.45,20.78
2018-07-31,44.79,$2.34,19.18
2018-04-30,38.9,$2.18,17.88
2018-01-31,36.67,$2.02,18.15
2017-10-31,31.72,$1.85,17.15
2017-07-31,31.82,$1.77,18.03
2017-04-30,35.45,$1.76,20.14
2017-01-31,33.65,$1.73,19.45
2016-10-31,33.01,$1.71,19.3
2016-07-31,36.46,$1.73,21.14
2016-04-30,33.71,$1.71,19.77
2016-01-31,31.58,$1.67,18.91
2015-10-31,32.35,$1.64,19.73
2015-07-31,30.77,$1.64,18.82
2015-04-30,28.35,$1.60,17.72
2015-01-31,28.89,$1.58,18.34
2014-10-31,27.67,$1.52,18.26
2014-07-31,23.21,$1.52,15.27
2014-04-30,25.27,$1.49,17.01
2014-01-31,24.85,$1.48,16.85
2013-10-31,26.27,$1.48,17.75
2013-07-31,22.43,$1.36,16.49
2013-04-30,20.96,$1.31,16.0
2013-01-31,19.37,$1.28,15.19
2012-10-31,17.8,$1.18,15.15
2012-07-31,18.88,$1.13,16.71
2012-04-30,17.74,$1.08,16.5
2012-01-31,14.45,$0.97,14.93
2011-10-31,12.46,$0.87,14.36
2011-07-31,11.65,$0.83,13.99
2011-04-30,11.25,$0.79,14.2
2011-01-31,9.92,$0.83,12.02
2010-10-31,9.57,$0.85,11.26
2010-07-31,8.63,$0.82,10.49
2010-04-30,9.6,$0.79,12.15
2010-01-31,7.85,$0.71,11.02
2009-10-31,7.69,$0.62,12.35
