Adient PE Ratio Historical Data,Adient PE Ratio Historical Data,Adient PE Ratio Historical Data,Adient PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.83,,16.79
2024-06-30,24.71,$1.30,19.01
2024-03-31,32.92,$1.26,26.13
2023-09-30,36.7,$2.16,16.99
2023-06-30,38.32,$1.21,31.67
2023-03-31,40.96,$0.65,63.02
2022-12-31,34.69,$0.49,70.8
2022-09-30,27.75,$-0.49,0.0
2023-12-31,36.36,$-1.53,0.0
2022-06-30,29.63,$8.28,3.58
2022-03-31,40.77,$7.85,5.19
2021-12-31,47.88,$9.42,5.08
2021-09-30,41.45,$11.57,3.58
2021-06-30,45.2,$1.17,38.63
2021-03-31,44.2,$-1.54,0.0
2020-12-31,34.77,$-2.46,0.0
2020-09-30,17.33,$-5.82,0.0
2020-06-30,16.42,$-5.48,0.0
2020-03-31,9.07,$-5.45,0.0
2019-12-31,21.25,$-6.84,0.0
2019-09-30,22.96,$-5.24,0.0
2019-06-30,24.27,$-19.71,0.0
2019-03-31,12.96,$-15.70,0.0
2018-12-31,15.06,$-15.91,0.0
2018-09-30,38.97,$-18.05,0.0
2018-06-30,48.49,$0.13,373.03
2018-03-31,58.67,$1.72,34.11
2017-12-31,76.99,$5.56,13.85
2017-09-30,81.9,$9.47,8.65
