AngloGold Ashanti PE Ratio Historical Data,AngloGold Ashanti PE Ratio Historical Data,AngloGold Ashanti PE Ratio Historical Data,AngloGold Ashanti PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.52,,38.84
2024-06-30,25.13,$0.76,33.07
2023-12-31,18.69,$0.16,116.81
2023-06-30,21.05,$0.64,32.88
2023-03-31,24.14,$1.04,23.21
2022-03-31,22.99,$0.88,26.13
2021-03-31,21.12,$1.04,20.31
2020-03-31,15.67,$0.38,41.23
2019-03-31,12.27,$-0.37,0.0
2015-12-31,6.52,$-0.37,0.0
2015-09-30,7.52,$-0.67,0.0
2015-06-30,8.22,$-0.39,0.0
2015-03-31,8.58,$-0.24,0.0
2014-12-31,7.99,$-0.14,0.0
2014-09-30,11.02,$-0.75,0.0
2014-06-30,15.8,$-0.85,0.0
2014-03-31,15.68,$-5.99,0.0
2013-12-31,10.76,$-5.82,0.0
2013-09-30,12.19,$-5.56,0.0
2013-06-30,13.13,$-5.13,0.0
2013-03-31,21.55,$0.82,26.29
2012-12-31,28.65,$1.65,17.36
2012-09-30,31.95,$3.09,10.34
2012-06-30,31.18,$3.78,8.25
2012-03-31,33.4,$4.39,7.61
2011-12-31,38.16,$3.91,9.76
2011-09-30,37.1,$3.10,11.97
2011-06-30,37.65,$2.12,17.76
2011-03-31,42.89,$0.39,109.97
2010-12-31,43.93,$0.20,219.66
2010-09-30,41.26,$1.21,34.1
2010-06-30,38.45,$-1.82,0.0
2010-03-31,33.79,$-0.48,0.0
2009-12-31,35.69,$-0.91,0.0
