Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,62.64,,17.55
2024-06-30,62.83,$3.57,17.6
2024-03-31,62.08,$3.38,18.37
2023-12-31,50.02,$3.99,12.54
2023-09-30,39.5,$6.31,6.26
2023-06-30,43.71,$6.31,6.93
2023-03-31,44.04,$7.17,6.14
2022-12-31,42.06,$7.00,6.01
2022-09-30,38.31,$7.30,5.25
2022-06-30,41.88,$7.82,5.35
2022-03-31,48.11,$8.48,5.67
2021-12-31,53.99,$10.08,5.36
2021-09-30,62.29,$10.70,5.82
2021-06-30,62.32,$9.95,6.26
2021-03-31,63.63,$7.60,8.37
2020-12-31,53.46,$5.03,10.63
2020-09-30,36.92,$5.10,7.24
2020-06-30,43.32,$5.77,7.51
2020-03-31,35.31,$7.22,4.89
2019-12-31,66.53,$8.04,8.27
2019-09-30,57.13,$7.53,7.59
2019-06-30,57.48,$7.19,7.99
2019-03-31,51.07,$6.87,7.43
2018-12-31,42.43,$6.68,6.35
2018-09-30,58.08,$-2.11,0.0
2018-06-30,53.84,$-2.42,0.0
2018-03-31,54.05,$-2.77,0.0
2017-12-31,59.34,$-3.10,0.0
2017-09-30,57.76,$5.19,11.13
2017-06-30,52.86,$5.01,10.55
2017-03-31,47.15,$4.97,9.49
2016-12-31,46.71,$4.72,9.9
2016-09-30,37.0,$4.60,8.04
2016-06-30,33.09,$4.71,7.02
2016-03-31,32.55,$4.98,6.54
2015-12-31,40.3,$5.39,7.48
2015-09-30,38.6,$4.43,8.71
2015-06-30,42.94,$4.15,10.35
2015-03-31,40.01,$2.70,14.82
2014-12-31,42.01,$2.42,17.36
2014-09-30,40.23,$3.21,12.53
2014-06-30,36.56,$3.14,11.64
2014-03-31,36.94,$4.42,8.36
2013-12-31,40.43,$3.57,11.32
2013-09-30,37.63,$2.87,13.11
2013-06-30,37.2,$2.82,13.19
2012-12-31,30.66,$2.43,12.62
2012-09-30,25.36,$2.43,10.43
2012-06-30,21.23,$3.51,6.05
2012-03-31,28.3,$3.79,7.47
2011-12-31,20.37,$3.93,5.18
2013-03-31,34.3,$4.55,7.54
2011-09-30,19.82,$3.72,5.33
2011-06-30,32.22,$3.19,10.1
2011-03-31,34.19,$3.00,11.4
2010-12-31,36.59,$3.50,10.45
2010-09-30,30.24,$-0.00,0.0
2010-06-30,29.08,$-3.40,0.0
2010-03-31,31.33,$0.60,52.21
2009-12-31,25.6,$-2.70,0.0
