Paramount PE Ratio Historical Data,Paramount PE Ratio Historical Data,Paramount PE Ratio Historical Data,Paramount PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.27,,0.0
2024-06-30,4.63,$-0.98,0.0
2024-03-31,4.65,$-1.16,0.0
2023-12-31,5.09,$-1.38,0.0
2023-09-30,4.52,$-0.44,0.0
2023-06-30,4.3,$-0.40,0.0
2022-12-31,5.63,$-0.16,0.0
2022-09-30,5.82,$0.02,291.23
2022-06-30,6.67,$0.04,166.86
2022-03-31,9.97,$0.03,332.22
2021-12-31,7.56,$-0.06,0.0
2023-03-31,4.39,$-0.09,0.0
2021-09-30,8.09,$-0.17,0.0
2021-06-30,8.99,$-0.19,0.0
2021-03-31,8.98,$-0.15,0.0
2020-12-31,7.96,$-0.12,0.0
2020-09-30,6.19,$-0.27,0.0
2020-06-30,6.64,$-0.21,0.0
2020-03-31,7.48,$-0.17,0.0
2019-12-31,11.7,$-0.16,0.0
2019-09-30,11.14,$0.22,50.65
2019-06-30,11.61,$0.05,232.16
2018-12-31,10.26,$0.04,256.46
2018-09-30,12.23,$-0.01,0.0
2018-06-30,12.4,$-0.15,0.0
2018-03-31,11.39,$-0.05,0.0
2017-12-31,12.59,$0.39,32.27
2019-03-31,11.67,$0.42,27.79
2017-09-30,12.63,$0.37,34.14
2017-06-30,12.56,$0.41,30.62
2017-03-31,12.65,$-0.02,0.0
2016-12-31,12.4,$-0.05,0.0
2016-09-30,12.63,$0.02,631.71
2016-06-30,12.22,$0.03,407.3
2016-03-31,12.15,0,0.0
2015-12-31,13.71,$-0.02,0.0
2015-09-30,12.66,$-0.06,0.0
