AMC Entertainment Holdings PE Ratio Historical Data,AMC Entertainment Holdings PE Ratio Historical Data,AMC Entertainment Holdings PE Ratio Historical Data,AMC Entertainment Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.22,,0.0
2024-06-30,4.98,$-1.47,0.0
2024-03-31,3.72,$-1.27,0.0
2023-12-31,6.12,$-2.35,0.0
2023-09-30,7.99,$-4.12,0.0
2023-06-30,38.82,$-6.40,0.0
2023-03-31,44.21,$-8.90,0.0
2022-12-31,35.91,$-13.70,0.0
2022-09-30,61.5,$-13.70,0.0
2022-06-30,119.44,$-15.90,0.0
2022-03-31,217.2,$-20.60,0.0
2021-12-31,239.77,$-28.30,0.0
2021-09-30,335.5,$-87.80,0.0
2021-06-30,499.64,$-167.50,0.0
2021-03-31,90.0,$-214.20,0.0
2020-12-31,18.69,$-408.80,0.0
2020-09-30,41.52,$-348.00,0.0
2020-06-30,37.82,$-269.20,0.0
2020-03-31,27.86,$-213.70,0.0
2019-12-31,63.4,$-17.40,0.0
2019-09-30,91.46,$-11.80,0.0
2019-06-30,78.39,$-14.70,0.0
2019-03-31,122.49,$-14.70,0.0
2018-12-31,99.94,$-0.80,0.0
2018-09-30,164.53,$-26.50,0.0
2018-06-30,117.42,$-21.60,0.0
2018-03-31,102.34,$-36.80,0.0
2017-12-31,108.6,$-37.50,0.0
2017-09-30,104.24,$-12.80,0.0
2017-06-30,158.94,$-6.40,0.0
2017-03-31,217.86,$9.50,22.93
2016-12-31,231.54,$11.70,19.79
2016-09-30,212.65,$12.60,16.88
2016-06-30,187.62,$10.70,17.53
2016-03-31,188.9,$12.80,14.76
2015-12-31,160.72,$10.50,15.31
2015-09-30,167.33,$9.30,17.99
2015-06-30,202.32,$8.90,22.73
2015-03-31,232.4,$7.60,30.58
2014-12-31,170.45,$6.50,26.22
2014-09-30,148.52,$39.30,3.78
