Churchill Downs PE Ratio Historical Data,Churchill Downs PE Ratio Historical Data,Churchill Downs PE Ratio Historical Data,Churchill Downs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,140.6,,25.94
2024-06-30,139.6,$5.42,25.76
2024-03-31,123.75,$4.49,27.56
2023-12-31,134.93,$5.46,24.74
2023-09-30,115.66,$4.71,24.56
2023-06-30,138.71,$4.67,29.73
2023-03-31,128.1,$7.20,17.79
2022-12-31,105.37,$5.70,18.5
2022-09-30,91.48,$6.24,14.67
2022-06-30,95.14,$6.28,15.16
2022-03-31,110.17,$3.26,33.79
2021-12-31,119.67,$3.18,37.69
2021-09-30,118.92,$2.84,41.95
2021-06-30,98.2,$2.59,37.92
2021-03-31,112.65,$-0.29,0.0
2020-12-31,96.48,$-1.04,0.0
2020-09-30,80.87,$-1.21,0.0
2020-06-30,65.73,$-1.57,0.0
2020-03-31,50.82,$1.25,40.66
2019-12-31,67.73,$1.69,40.08
2019-09-30,60.67,$1.78,34.08
2019-06-30,56.55,$2.29,24.73
2019-03-31,44.36,$2.23,19.89
2018-12-31,39.96,$4.18,9.57
2018-09-30,45.22,$4.45,10.17
2018-06-30,48.28,$3.94,12.25
2018-03-31,39.74,$3.48,11.41
2017-12-31,37.89,$1.47,25.86
2017-09-30,33.36,$1.32,25.24
2017-06-30,29.65,$1.23,24.14
2017-03-31,25.7,$1.11,23.12
2016-12-31,24.34,$1.07,22.85
2016-09-30,23.47,$0.87,26.98
2016-06-30,20.27,$0.82,24.61
2016-03-31,23.72,$0.66,36.21
2015-12-31,22.69,$0.61,37.0
2015-09-30,21.29,$0.41,52.36
2015-06-30,19.9,$0.40,49.75
2015-03-31,18.3,$0.42,43.74
2014-12-31,15.17,$0.43,35.55
2014-09-30,15.36,$0.51,30.31
2014-06-30,14.19,$0.56,25.34
2014-03-31,14.38,$0.49,29.15
2013-12-31,14.12,$0.51,27.69
2013-09-30,13.49,$0.59,22.94
2013-06-30,12.3,$0.56,22.03
2013-03-31,10.92,$0.55,19.8
2012-12-31,10.36,$0.56,18.67
2012-09-30,9.67,$0.61,15.98
2012-06-30,9.06,$0.74,12.19
2012-03-31,8.62,$0.68,12.73
2011-12-31,8.03,$0.63,12.75
2011-09-30,5.94,$0.54,11.08
2011-06-30,6.87,$0.34,20.5
2011-03-31,6.32,$0.25,25.46
2010-12-31,6.61,$0.17,37.8
2010-09-30,5.38,$0.11,48.95
2010-06-30,4.94,$0.09,55.95
2010-03-31,5.65,$0.15,38.5
2009-12-31,5.63,$0.19,29.09
