Braskem S.A PE Ratio Historical Data,Braskem S.A PE Ratio Historical Data,Braskem S.A PE Ratio Historical Data,Braskem S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.42,,0.0
2024-06-30,6.45,$-4.52,0.0
2024-03-31,10.53,$-3.23,0.0
2023-12-31,8.82,$-2.46,0.0
2023-09-30,8.21,$-2.38,0.0
2023-06-30,11.65,$0.73,15.96
2023-03-31,7.7,$1.48,5.2
2022-06-30,14.28,$3.09,4.62
2022-03-31,18.0,$7.33,2.46
2021-12-31,20.36,$6.61,3.08
2021-09-30,18.54,$6.76,2.74
2021-06-30,20.25,$4.40,4.6
2021-03-31,12.08,$-0.28,0.0
2020-12-31,7.65,$-3.50,0.0
2020-09-30,6.34,$-5.67,0.0
2020-06-30,7.35,$-5.57,0.0
2020-03-31,5.64,$-4.33,0.0
2019-12-31,12.57,$-1.57,0.0
2019-09-30,16.13,$0.16,100.8
2019-06-30,16.13,$1.23,13.11
2019-03-31,19.75,$1.53,12.91
2018-12-31,18.71,$1.65,11.34
2018-09-30,22.08,$2.00,11.04
2018-06-30,19.89,$2.13,9.34
2018-03-31,21.26,$3.25,6.54
2017-12-31,19.26,$3.89,4.95
2017-09-30,19.06,$3.59,5.31
2017-06-30,14.77,$4.55,3.25
2017-03-31,14.51,$3.35,4.33
2016-12-31,15.12,$2.40,6.3
2016-09-30,10.43,$2.55,4.09
2016-06-30,8.03,$2.08,3.86
2016-03-31,8.28,$2.68,3.09
2015-12-31,8.68,$2.39,3.63
2015-09-30,5.4,$2.17,2.49
2015-06-30,5.55,$1.31,4.24
2015-03-31,4.23,$0.55,7.68
2014-12-31,7.86,$0.80,9.83
2014-09-30,8.02,$0.89,9.01
2014-06-30,7.82,$1.05,7.45
2014-03-31,9.16,$0.78,11.75
2013-12-31,10.47,$0.58,18.05
2013-09-30,9.36,$0.91,10.28
2013-06-30,8.73,$0.31,28.16
2013-03-31,7.94,$-0.83,0.0
2012-12-31,7.83,$-0.90,0.0
2012-09-30,8.28,$-1.53,0.0
2012-06-30,7.81,$-2.86,0.0
2012-03-31,8.93,$-0.93,0.0
2011-12-31,7.91,$-0.64,0.0
2011-09-30,8.76,$0.17,51.53
2011-06-30,16.31,$2.48,6.58
2011-03-31,14.51,$1.88,7.72
2010-12-31,13.53,$1.14,11.86
2010-09-30,11.06,$-1.68,0.0
2010-06-30,7.62,$0.03,254.16
2010-03-31,7.79,$2.25,3.46
2009-12-31,8.83,$2.53,3.49
