United Microelectronics PE Ratio Historical Data,United Microelectronics PE Ratio Historical Data,United Microelectronics PE Ratio Historical Data,United Microelectronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.0,,11.94
2024-06-30,8.3,$0.67,12.38
2024-03-31,7.66,$0.70,10.95
2023-12-31,8.01,$0.79,10.14
2023-09-30,6.69,$0.87,7.69
2023-06-30,7.47,$1.02,7.33
2023-03-31,7.74,$1.11,6.98
2022-12-31,5.77,$1.17,4.93
2022-09-30,4.92,$1.16,4.24
2022-06-30,5.98,$1.07,5.59
2022-03-31,8.06,$0.96,8.4
2021-12-31,10.34,$0.83,12.46
2021-09-30,10.1,$0.75,13.47
2021-06-30,8.1,$0.62,13.07
2021-03-31,7.81,$0.53,14.73
2020-12-31,7.23,$0.41,17.62
2020-09-30,4.11,$0.30,13.69
2020-06-30,2.16,$0.21,10.27
2020-03-31,1.77,$0.14,12.66
2019-12-31,2.19,$0.13,16.84
2019-09-30,1.71,$0.06,28.45
2019-06-30,1.75,$0.04,43.86
2019-03-31,1.49,$0.07,21.32
2018-12-31,1.42,$0.10,14.21
2018-09-30,2.05,$0.17,12.05
2018-06-30,2.15,$0.18,11.94
2018-03-31,1.97,$0.16,12.34
2017-09-30,1.91,$0.14,13.61
2017-06-30,1.8,$0.13,13.81
2017-03-31,1.42,$0.13,10.92
2016-12-31,1.29,$0.10,12.88
2016-09-30,1.36,$0.11,12.37
2016-06-30,1.4,$0.09,15.57
2016-03-31,1.46,$0.12,12.21
2015-12-31,1.32,$0.17,7.79
2015-09-30,1.14,$0.19,6.0
2015-06-30,1.38,$0.21,6.58
2015-03-31,1.64,$0.20,8.22
2014-12-31,1.53,$0.17,9.0
2014-09-30,1.34,$0.12,11.18
2014-06-30,1.62,$0.13,12.49
2014-03-31,1.4,$0.11,12.74
2013-12-31,1.37,$0.18,7.63
2013-09-30,1.39,$0.19,7.3
2013-06-30,1.54,$0.17,9.03
2013-03-31,1.19,$0.18,6.59
2012-12-31,1.31,$0.11,11.92
2012-09-30,1.35,$0.10,13.51
2012-06-30,1.39,$0.10,13.9
2012-03-31,1.57,$0.10,15.69
2011-12-31,1.37,$0.14,9.79
2011-09-30,1.22,$0.22,5.56
2011-06-30,1.55,$0.30,5.16
2011-03-31,1.65,$0.33,5.0
2010-12-31,1.91,$0.31,6.16
2010-09-30,1.68,$0.28,6.0
2010-06-30,1.73,$0.24,7.22
2010-03-31,2.24,$0.19,11.78
2009-12-31,2.31,$0.06,38.48
