Casey's General Stores PE Ratio Historical Data,Casey's General Stores PE Ratio Historical Data,Casey's General Stores PE Ratio Historical Data,Casey's General Stores PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,387.08,,27.61
2024-07-31,387.33,$14.02,27.63
2024-04-30,319.16,$10.68,29.88
2024-01-31,270.64,$11.01,24.58
2023-07-31,251.2,$12.35,20.34
2023-04-30,227.11,$11.92,19.05
2023-01-31,233.76,$12.03,19.43
2022-10-31,230.21,$13.60,16.93
2022-07-31,200.15,$11.64,17.2
2022-04-30,198.44,$10.14,19.57
2023-10-31,270.76,$11.73,23.08
2022-01-31,184.82,$8.61,21.47
2021-10-31,188.14,$7.94,23.7
2021-07-31,193.85,$8.35,23.22
2021-04-30,217.48,$8.40,25.89
2021-01-31,183.22,$8.95,20.47
2020-10-31,164.45,$8.82,18.64
2020-07-31,155.0,$8.03,19.3
2020-04-30,147.13,$7.10,20.72
2020-01-31,155.98,$6.11,25.53
2019-10-31,165.3,$6.33,26.11
2019-07-31,156.4,$5.92,26.42
2019-04-30,127.59,$5.51,23.16
2019-01-31,123.78,$5.34,23.18
2018-10-31,121.04,$9.29,13.03
2018-07-31,104.74,$8.77,11.94
2018-04-30,92.26,$8.33,11.08
2018-01-31,115.35,$8.58,13.44
2017-10-31,108.89,$4.08,26.69
2017-07-31,101.23,$4.24,23.87
2017-04-30,106.01,$4.48,23.66
2017-01-31,108.46,$4.91,22.09
2016-10-31,106.43,$5.30,20.08
2016-07-31,125.53,$5.86,21.42
2016-04-30,105.09,$5.73,18.34
2016-01-31,113.07,$5.59,20.23
2015-10-31,99.28,$5.63,17.63
2015-07-31,95.34,$4.91,19.42
2015-04-30,76.49,$4.68,16.34
2015-01-31,84.77,$4.22,20.09
2014-10-31,75.85,$3.59,21.13
2014-07-31,61.15,$3.37,18.15
2014-04-30,63.27,$3.46,18.29
2014-01-31,63.11,$3.47,18.19
2013-10-31,66.8,$3.49,19.14
2013-07-31,60.56,$3.28,18.46
2013-04-30,52.81,$2.86,18.46
2013-01-31,49.77,$2.86,17.4
2012-10-31,46.73,$2.89,16.17
2012-07-31,53.7,$3.02,17.78
2012-04-30,50.78,$3.04,16.7
2012-01-31,45.79,$3.04,15.06
2011-10-31,44.41,$2.95,15.05
2011-07-31,40.21,$2.48,16.21
2011-04-30,34.76,$2.18,15.94
2011-01-31,37.71,$2.01,18.76
2010-10-31,36.68,$2.01,18.25
2010-07-31,33.73,$2.16,15.61
2010-04-30,33.97,$2.30,14.77
2010-01-31,26.92,$2.18,12.35
2009-10-31,27.59,$2.12,13.02
