MaxLinear PE Ratio Historical Data,MaxLinear PE Ratio Historical Data,MaxLinear PE Ratio Historical Data,MaxLinear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.2,,0.0
2024-06-30,20.14,$-2.31,0.0
2024-03-31,18.67,$-1.89,0.0
2023-12-31,23.77,$-0.89,0.0
2023-09-30,22.25,$-0.04,0.0
2023-06-30,31.56,$0.80,39.45
2023-03-31,35.21,$1.25,28.17
2022-12-31,33.95,$1.55,21.9
2022-09-30,32.62,$1.52,21.46
2022-06-30,33.98,$1.29,26.34
2022-03-31,58.35,$0.90,64.83
2021-12-31,75.39,$0.53,142.25
2021-09-30,49.25,$-0.15,0.0
2021-06-30,42.49,$-0.77,0.0
2021-03-31,34.08,$-1.08,0.0
2020-12-31,38.19,$-1.34,0.0
2020-09-30,23.24,$-1.12,0.0
2020-06-30,21.46,$-0.69,0.0
2020-03-31,11.67,$-0.42,0.0
2019-12-31,21.22,$-0.28,0.0
2019-09-30,22.38,$-0.17,0.0
2019-06-30,23.44,$-0.30,0.0
2019-03-31,25.53,$-0.48,0.0
2018-12-31,17.6,$-0.38,0.0
2018-09-30,19.88,$-0.67,0.0
2018-06-30,15.59,$-0.61,0.0
2018-03-31,22.75,$-0.24,0.0
2017-12-31,26.42,$-0.15,0.0
2017-09-30,23.75,$0.26,91.35
2017-06-30,27.89,$0.54,51.65
2017-03-31,28.05,$0.71,39.51
2016-12-31,21.8,$0.88,24.77
2016-09-30,20.27,$0.62,32.69
2016-06-30,17.98,$0.51,35.25
2016-03-31,18.5,$-0.40,0.0
2015-12-31,14.73,$-0.81,0.0
2015-09-30,12.44,$-0.73,0.0
2015-06-30,12.1,$-0.85,0.0
2015-03-31,8.13,$-0.29,0.0
2014-12-31,7.41,$-0.19,0.0
2014-09-30,6.88,$-0.21,0.0
2014-06-30,10.07,$-0.26,0.0
2014-03-31,9.48,$-0.33,0.0
2013-12-31,10.43,$-0.38,0.0
2013-09-30,8.29,$-0.44,0.0
2013-06-30,7.0,$-0.29,0.0
2013-03-31,6.2,$-0.28,0.0
2012-12-31,5.02,$-0.41,0.0
2012-09-30,6.69,$-0.41,0.0
2012-06-30,4.96,$-0.77,0.0
2012-03-31,5.57,$-0.84,0.0
2011-12-31,4.75,$-0.68,0.0
2011-09-30,6.46,$-0.37,0.0
2011-06-30,8.66,$0.02,433.0
2011-03-31,8.17,$0.22,37.14
2010-12-31,10.76,$0.27,39.85
