Highwoods Properties PE Ratio Historical Data,Highwoods Properties PE Ratio Historical Data,Highwoods Properties PE Ratio Historical Data,Highwoods Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.98,,25.52
2024-06-30,25.86,$1.41,18.34
2024-03-31,25.29,$1.22,20.73
2023-12-31,21.72,$1.39,15.62
2023-09-30,18.99,$1.29,14.72
2023-06-30,21.55,$1.44,14.96
2023-03-31,20.4,$1.51,13.51
2022-12-31,24.19,$1.47,16.46
2022-09-30,22.9,$2.40,9.54
2022-06-30,28.62,$2.73,10.48
2022-03-31,37.79,$2.83,13.35
2021-12-31,36.42,$2.97,12.26
2021-09-30,35.45,$2.57,13.79
2021-06-30,36.11,$2.27,15.91
2021-03-31,33.96,$2.06,16.48
2020-12-31,30.97,$3.33,9.3
2020-09-30,25.89,$3.12,8.3
2020-06-30,28.43,$3.00,9.48
2020-03-31,26.57,$3.02,8.8
2019-12-31,36.36,$1.30,27.97
2019-09-30,33.06,$1.23,26.88
2019-06-30,30.06,$1.28,23.49
2019-03-31,33.69,$1.39,24.24
2018-12-31,27.58,$1.63,16.92
2018-09-30,33.34,$1.67,19.97
2018-06-30,35.46,$1.90,18.66
2018-03-31,30.31,$1.77,17.13
2017-12-31,34.85,$1.77,19.69
2017-09-30,35.36,$1.47,24.05
2017-06-30,34.12,$1.24,27.52
2017-03-31,32.77,$1.20,27.31
2016-12-31,33.73,$5.38,6.27
2016-09-30,33.62,$5.34,6.3
2016-06-30,33.79,$5.33,6.34
2016-03-31,30.32,$5.28,5.74
2015-12-31,27.37,$1.00,27.37
2015-09-30,24.08,$1.03,23.38
2015-06-30,24.58,$1.29,19.05
2015-03-31,27.89,$1.27,21.96
2014-12-31,26.73,$1.19,22.46
2014-09-30,23.25,$1.28,18.16
2014-06-30,24.82,$1.32,18.8
2014-03-31,22.49,$1.40,16.06
2013-12-31,20.94,$1.42,14.74
2013-09-30,20.21,$1.27,15.91
2013-06-30,20.13,$1.09,18.46
2013-03-31,22.13,$0.93,23.79
2012-12-31,18.27,$1.01,18.09
2012-09-30,17.59,$0.99,17.76
2012-06-30,17.91,$0.66,27.14
2012-03-31,17.51,$0.63,27.79
2011-12-31,15.39,$0.54,28.5
2011-09-30,14.45,$0.51,28.32
2011-06-30,16.7,$0.51,32.74
2011-03-31,17.44,$0.87,20.04
2010-12-31,15.67,$0.87,18.01
2010-09-30,15.76,$0.70,22.52
2010-06-30,13.29,$0.74,17.96
2010-03-31,14.98,$0.74,20.24
2009-12-31,15.51,$0.77,20.14
