Phathom Pharmaceuticals PE Ratio Historical Data,Phathom Pharmaceuticals PE Ratio Historical Data,Phathom Pharmaceuticals PE Ratio Historical Data,Phathom Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.24,,0.0
2024-06-30,10.3,$-5.13,0.0
2024-03-31,10.62,$-4.41,0.0
2023-12-31,9.13,$-3.88,0.0
2023-09-30,10.37,$-3.82,0.0
2023-06-30,14.32,$-4.38,0.0
2023-03-31,7.14,$-4.87,0.0
2022-12-31,11.22,$-5.05,0.0
2022-09-30,11.08,$-4.67,0.0
2022-06-30,8.44,$-4.33,0.0
2022-03-31,13.61,$-4.00,0.0
2021-12-31,19.67,$-3.89,0.0
2021-09-30,32.1,$-4.52,0.0
2021-06-30,33.85,$-4.56,0.0
2021-03-31,37.56,$-4.20,0.0
2020-12-31,33.22,$-3.86,0.0
2020-09-30,36.67,$-2.28,0.0
