Tandem Diabetes Care PE Ratio Historical Data,Tandem Diabetes Care PE Ratio Historical Data,Tandem Diabetes Care PE Ratio Historical Data,Tandem Diabetes Care PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.81,,0.0
2024-06-30,40.29,$-2.09,0.0
2024-03-31,35.41,$-2.17,0.0
2023-12-31,29.58,$-3.44,0.0
2023-09-30,20.77,$-3.23,0.0
2023-06-30,24.54,$-3.48,0.0
2023-03-31,40.61,$-3.17,0.0
2022-12-31,44.95,$-1.48,0.0
2022-09-30,47.85,$-1.07,0.0
2022-06-30,59.19,$-0.22,0.0
2022-03-31,116.29,$0.08,1453.63
2021-12-31,150.52,$0.23,654.43
2021-09-30,119.38,$0.29,411.66
2021-06-30,97.4,$0.05,1948.0
2021-03-31,88.25,$-0.46,0.0
2020-12-31,95.68,$-0.63,0.0
2020-09-30,113.5,$-0.81,0.0
2020-06-30,98.92,$-0.75,0.0
2020-03-31,64.35,$-0.33,0.0
2019-12-31,59.61,$-0.48,0.0
2019-09-30,58.98,$-0.50,0.0
2019-06-30,64.52,$-1.03,0.0
2019-03-31,63.5,$-2.17,0.0
2018-12-31,37.97,$-3.59,0.0
2018-09-30,42.84,$-4.84,0.0
2018-06-30,22.02,$-7.31,0.0
2018-03-31,4.96,$-10.54,0.0
2017-12-31,2.36,$-16.22,0.0
2017-09-30,7.3,$-19.79,0.0
2017-06-30,8.0,$-26.40,0.0
2017-03-31,12.0,$-28.00,0.0
2016-12-31,21.5,$-27.30,0.0
2016-09-30,76.6,$-26.50,0.0
2016-06-30,75.4,$-23.30,0.0
2016-03-31,87.1,$-23.80,0.0
2015-12-31,118.1,$-25.30,0.0
2015-09-30,88.1,$-29.10,0.0
2015-06-30,108.4,$-31.10,0.0
2015-03-31,126.2,$-32.90,0.0
2014-12-31,127.0,$-34.20,0.0
2014-09-30,134.2,$-47.80,0.0
