Nelnet PE Ratio Historical Data,Nelnet PE Ratio Historical Data,Nelnet PE Ratio Historical Data,Nelnet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,115.33,,27.59
2024-06-30,100.62,$4.18,24.07
2024-03-31,94.42,$3.70,25.52
2023-12-31,87.72,$2.44,35.95
2023-09-30,88.52,$3.50,25.29
2023-06-30,95.35,$5.09,18.73
2023-03-31,90.55,$6.60,13.72
2022-12-31,89.18,$10.80,8.26
2022-09-30,77.62,$13.43,5.78
2022-06-30,83.32,$12.01,6.94
2022-03-31,82.83,$11.91,6.95
2021-12-31,94.92,$10.20,9.31
2021-09-30,76.79,$12.84,5.98
2021-06-30,72.7,$13.32,5.46
2021-03-31,70.09,$13.37,5.24
2020-12-31,68.44,$9.16,7.47
2020-09-30,57.69,$4.12,14.0
2020-06-30,45.57,$3.09,14.75
2020-03-31,43.17,$1.49,28.98
2019-12-31,55.17,$3.53,15.63
2019-09-30,60.06,$3.00,20.02
2019-06-30,55.77,$3.22,17.32
2019-03-31,51.71,$3.82,13.54
2018-12-31,48.98,$5.57,8.79
2018-09-30,53.5,$6.21,8.62
2018-06-30,54.51,$6.27,8.69
2018-03-31,48.78,$5.74,8.5
2017-12-31,50.84,$4.14,12.28
2017-09-30,46.73,$5.29,8.83
2017-06-30,43.37,$6.16,7.04
2017-03-31,40.32,$6.09,6.62
2016-12-31,46.53,$6.02,7.73
2016-09-30,36.91,$5.56,6.64
2016-06-30,31.67,$4.67,6.78
2016-03-31,35.76,$5.60,6.39
2015-12-31,30.39,$5.89,5.16
2015-09-30,31.22,$5.62,5.55
2015-06-30,38.96,$6.37,6.12
2015-03-31,42.47,$6.44,6.59
2014-12-31,41.49,$6.63,6.26
2014-09-30,38.5,$6.56,5.87
2014-06-30,36.94,$6.07,6.09
2014-03-31,36.38,$6.63,5.49
2013-12-31,37.38,$6.50,5.75
2013-09-30,34.03,$6.17,5.51
2013-06-30,31.85,$5.59,5.7
2013-03-31,29.76,$4.29,6.94
2012-12-31,26.15,$3.74,6.99
2012-09-30,19.98,$3.92,5.1
2012-06-30,19.28,$4.13,4.67
2012-03-31,21.62,$4.02,5.38
2011-12-31,20.34,$4.24,4.8
2011-09-30,15.54,$4.62,3.36
2011-06-30,18.16,$3.63,5.0
2011-03-31,17.88,$3.86,4.63
2010-12-31,19.35,$3.81,5.08
2010-09-30,18.27,$3.24,5.64
2010-06-30,15.35,$3.42,4.49
2010-03-31,14.72,$2.95,4.99
2009-12-31,13.61,$2.80,4.86
