Owens Corning Inc PE Ratio Historical Data,Owens Corning Inc PE Ratio Historical Data,Owens Corning Inc PE Ratio Historical Data,Owens Corning Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,187.42,,15.87
2024-06-30,173.12,$11.81,14.66
2024-03-31,166.23,$12.35,13.46
2023-12-31,146.54,$13.12,11.17
2023-09-30,134.31,$12.98,10.35
2023-06-30,127.99,$14.11,9.07
2023-03-31,93.96,$13.82,6.8
2022-12-31,82.72,$12.68,6.52
2022-09-30,75.91,$13.59,5.59
2022-06-30,71.44,$11.25,6.35
2022-03-31,87.97,$9.89,8.89
2021-12-31,86.35,$8.74,9.88
2021-09-30,81.35,$7.39,11.01
2020-12-31,71.41,$-3.54,0.0
2020-09-30,64.65,$-5.01,0.0
2020-06-30,52.17,$-4.07,0.0
2020-03-31,36.31,$-3.59,0.0
2019-12-31,60.43,$6.10,9.91
2021-06-30,92.89,$5.84,15.91
2019-09-30,58.44,$4.57,12.79
2019-06-30,53.61,$4.66,11.5
2019-03-31,43.4,$4.48,9.69
2018-12-31,40.12,$4.90,8.19
2018-09-30,49.3,$3.31,14.89
2018-06-30,57.38,$2.71,21.17
2018-03-31,72.8,$2.48,29.36
2017-12-31,83.04,$3.64,22.81
2017-09-30,69.53,$4.57,15.21
2017-06-30,59.97,$4.48,13.39
2021-03-31,87.37,$4.60,18.99
2017-03-31,55.0,$3.81,14.43
2016-12-31,46.05,$3.41,13.5
2016-09-30,47.34,$3.57,13.26
2016-06-30,45.53,$3.55,12.83
2016-03-31,41.78,$3.13,13.35
2015-12-31,41.4,$2.79,14.84
2015-09-30,36.61,$2.15,17.03
2015-06-30,35.9,$1.64,21.89
2015-03-31,37.77,$1.05,35.97
2014-12-31,31.03,$1.91,16.25
2014-09-30,27.24,$2.32,11.74
2014-06-30,33.05,$2.31,14.31
2014-03-31,36.88,$2.54,14.52
2013-12-31,34.66,$1.06,32.7
2013-09-30,32.33,$0.74,43.69
2013-06-30,33.27,$0.63,52.8
2012-12-31,31.49,$-0.16,0.0
2012-09-30,28.48,$0.72,39.56
2012-06-30,24.29,$0.53,45.84
2012-03-31,30.67,$1.22,25.14
2011-12-31,24.45,$2.22,11.01
2013-03-31,33.56,$2.00,16.78
2011-09-30,18.46,$0.93,19.84
2011-06-30,31.79,$0.38,83.67
2011-03-31,30.64,$7.09,4.32
2010-12-31,26.52,$7.28,3.64
2010-09-30,21.82,$8.00,2.73
2010-06-30,25.46,$8.17,3.12
2010-03-31,21.66,$1.10,19.69
2009-12-31,21.83,$0.49,44.54
