Stewart Information Services PE Ratio Historical Data,Stewart Information Services PE Ratio Historical Data,Stewart Information Services PE Ratio Historical Data,Stewart Information Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,71.25,,45.67
2024-06-30,61.67,$1.56,39.53
2024-03-31,64.14,$1.52,42.19
2023-12-31,57.46,$1.11,51.76
2023-09-30,42.48,$1.28,33.19
2023-06-30,39.5,$1.85,21.35
2023-03-31,38.33,$3.53,10.86
2022-12-31,40.11,$5.94,6.75
2022-09-30,40.56,$8.57,4.73
2022-06-30,45.81,$10.75,4.26
2022-03-31,55.39,$11.99,4.62
2021-12-31,72.44,$11.89,6.09
2021-09-30,57.19,$10.99,5.2
2021-06-30,50.97,$9.94,5.13
2021-03-31,46.52,$7.88,5.9
2020-12-31,42.98,$6.09,7.06
2020-09-30,38.62,$3.87,9.98
2020-06-30,28.52,$4.44,6.42
2020-03-31,23.18,$3.81,6.08
2019-12-31,35.13,$3.30,10.64
2019-09-30,33.17,$3.78,8.77
2019-06-30,34.33,$1.74,19.73
2019-03-31,35.93,$1.88,19.11
2018-12-31,34.6,$2.01,17.21
2018-09-30,37.35,$2.17,17.21
2018-06-30,35.5,$1.89,18.78
2018-03-31,35.97,$1.73,20.79
2017-12-31,34.38,$2.06,16.69
2017-09-30,30.47,$2.13,14.3
2017-06-30,36.31,$2.79,13.02
2017-03-31,35.12,$2.49,14.1
2016-12-31,36.37,$1.84,19.77
2016-09-30,34.84,$1.24,28.09
2016-06-30,32.24,$-0.46,0.0
2016-03-31,28.03,$-0.23,0.0
2015-12-31,28.57,$-0.27,0.0
2015-09-30,31.08,$0.11,282.58
2015-06-30,30.04,$1.66,18.1
2015-03-31,30.48,$1.21,25.19
2014-12-31,27.78,$1.19,23.34
2014-09-30,21.95,$1.42,15.46
2014-06-30,23.19,$0.60,38.65
2014-03-31,26.27,$2.89,9.09
2013-12-31,24.13,$4.85,4.98
2013-03-31,18.99,$5.18,3.67
2012-12-31,19.38,$4.40,4.4
2012-09-30,14.96,$1.95,7.67
2012-06-30,11.4,$1.62,7.04
2012-03-31,10.55,$0.79,13.36
2011-12-31,8.58,$1.70,5.05
2013-06-30,19.52,$1.04,18.77
2011-09-30,6.54,$0.41,15.94
2011-06-30,7.42,$0.02,370.76
2011-03-31,7.75,$0.19,40.78
2010-12-31,8.52,$-0.85,0.0
2010-09-30,8.33,$0.18,46.29
2010-06-30,6.64,$-0.95,0.0
2010-03-31,10.16,$-2.54,0.0
2009-12-31,8.3,$-3.26,0.0
2009-09-30,9.06,$-4.12,0.0
