Ares Management PE Ratio Historical Data,Ares Management PE Ratio Historical Data,Ares Management PE Ratio Historical Data,Ares Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,168.73,,87.88
2024-06-30,133.28,$1.92,69.42
2024-03-31,132.98,$2.23,59.63
2023-12-31,118.92,$2.39,49.76
2023-09-30,102.87,$2.15,47.85
2023-06-30,96.35,$1.63,59.11
2023-03-31,83.44,$1.10,75.85
2022-12-31,68.44,$0.85,80.52
2022-09-30,61.95,$0.89,69.61
2022-06-30,56.41,$1.56,36.16
2022-03-31,79.76,$2.04,39.1
2021-12-31,79.16,$2.12,37.34
2021-09-30,71.46,$1.92,37.22
2021-06-30,61.19,$1.74,35.17
2021-03-31,53.48,$1.40,38.2
2020-12-31,44.53,$0.75,59.37
2020-09-30,37.94,$0.54,70.26
2020-06-30,36.9,$0.50,73.8
2020-03-31,28.45,$0.38,74.87
2019-12-31,32.36,$1.07,30.24
2019-09-30,24.08,$0.87,27.67
2019-06-30,23.25,$0.73,31.86
2019-03-31,20.38,$0.30,67.94
2018-12-31,15.41,$0.22,70.03
2018-09-30,19.85,$0.56,35.44
2018-06-30,17.48,$0.73,23.94
2018-03-31,17.75,$1.46,12.16
2017-12-31,16.32,$0.61,26.75
2017-09-30,14.88,$0.56,26.58
2017-06-30,14.12,$0.73,19.34
2017-03-31,14.76,$0.16,92.26
2016-12-31,14.74,$0.73,20.19
2016-09-30,13.21,$0.25,52.83
2016-03-31,11.38,$-0.03,0.0
2015-12-31,9.41,$0.24,39.21
2015-09-30,12.6,$0.28,45.02
2015-06-30,13.14,$0.59,22.28
2015-03-31,13.0,$0.66,19.7
2014-12-31,11.88,$0.89,13.34
