MasTec PE Ratio Historical Data,MasTec PE Ratio Historical Data,MasTec PE Ratio Historical Data,MasTec PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,127.25,,155.18
2024-06-30,106.99,$0.82,130.48
2023-12-31,75.72,$-0.66,0.0
2023-09-30,71.97,$-0.63,0.0
2023-06-30,117.97,$-1.34,0.0
2023-03-31,94.44,$-0.89,0.0
2022-12-31,85.33,$0.36,237.03
2024-03-31,93.25,$-0.15,0.0
2022-09-30,63.5,$1.42,44.72
2022-06-30,71.66,$2.27,31.57
2022-03-31,87.1,$3.09,28.19
2021-12-31,92.28,$4.45,20.74
2021-09-30,86.28,$4.95,17.43
2021-06-30,106.1,$5.04,21.05
2021-03-31,93.7,$4.80,19.52
2020-12-31,68.18,$4.39,15.53
2020-09-30,42.2,$4.18,10.1
2020-06-30,44.87,$4.28,10.48
2020-03-31,32.73,$5.08,6.44
2019-12-31,64.16,$5.17,12.41
2019-09-30,64.93,$4.25,15.28
2019-06-30,51.53,$4.08,12.63
2019-03-31,48.1,$3.51,13.7
2018-12-31,40.56,$3.26,12.44
2018-09-30,44.65,$4.80,9.3
2018-06-30,50.75,$4.05,12.53
2018-03-31,47.05,$4.03,11.67
2017-12-31,48.95,$4.37,11.2
2017-09-30,46.4,$3.11,14.92
2017-06-30,45.15,$2.64,17.1
2016-12-31,38.25,$1.62,23.61
2016-09-30,29.74,0,0.0
2016-06-30,22.32,$-0.19,0.0
2016-03-31,20.24,$-0.40,0.0
2015-12-31,17.38,$-0.42,0.0
2017-03-31,40.05,$0.46,87.07
2015-09-30,15.83,$0.22,71.95
2015-06-30,19.87,$0.66,30.11
2015-03-31,19.3,$1.08,17.87
2014-12-31,22.61,$1.35,16.75
2014-09-30,30.62,$1.58,19.38
2014-06-30,30.82,$1.59,19.38
2014-03-31,43.44,$1.63,26.65
2013-12-31,32.72,$1.89,17.31
2013-09-30,30.3,$1.74,17.41
2013-06-30,32.9,$1.57,20.96
2012-12-31,24.93,$1.33,18.74
2012-09-30,19.7,$0.98,20.1
2012-06-30,15.04,$0.86,17.49
2012-03-31,18.09,$0.85,21.28
2011-12-31,17.37,$1.19,14.6
2013-03-31,29.15,$1.35,21.59
2011-09-30,17.61,$1.57,11.22
2011-06-30,19.72,$1.56,12.64
2011-03-31,20.8,$1.23,16.91
2010-12-31,14.59,$1.07,13.64
2010-09-30,10.32,$0.85,12.14
2010-06-30,9.4,$0.77,12.21
2010-03-31,12.61,$0.84,15.01
2009-12-31,12.5,$0.90,13.89
