Hyster-Yale PE Ratio Historical Data,Hyster-Yale PE Ratio Historical Data,Hyster-Yale PE Ratio Historical Data,Hyster-Yale PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.63,,6.76
2024-06-30,69.34,$10.00,6.93
2024-03-31,63.82,$8.63,7.39
2023-12-31,61.51,$7.25,8.48
2023-09-30,43.79,$6.26,7.0
2023-06-30,54.46,$2.00,27.23
2023-03-31,48.33,$-1.36,0.0
2022-12-31,24.31,$-4.39,0.0
2022-09-30,20.44,$-10.97,0.0
2022-06-30,30.28,$-13.36,0.0
2022-03-31,30.94,$-12.10,0.0
2021-12-31,37.94,$-10.29,0.0
2021-09-30,46.02,$-3.37,0.0
2021-06-30,66.46,$1.52,43.72
2021-03-31,79.0,$1.62,48.77
2020-12-31,53.8,$2.20,24.45
2020-09-30,33.37,$1.62,20.6
2020-06-30,34.46,$2.08,16.57
2020-03-31,35.42,$2.84,12.47
2019-12-31,51.75,$2.13,24.3
2019-09-30,47.79,$1.86,25.69
2019-06-30,47.97,$2.03,23.63
2019-03-31,53.75,$1.40,38.39
2018-12-31,53.16,$2.10,25.32
2018-09-30,52.79,$2.02,26.14
2018-06-30,54.85,$2.09,26.24
2018-03-31,59.42,$2.74,21.69
2017-12-31,72.06,$2.94,24.51
2017-09-30,64.45,$3.83,16.83
2017-06-30,58.97,$3.58,16.47
2017-03-31,47.14,$3.10,15.21
2016-12-31,53.06,$2.61,20.33
2016-09-30,49.81,$2.92,17.06
2016-06-30,49.0,$3.45,14.2
2016-03-31,54.59,$4.33,12.61
2015-12-31,42.78,$4.57,9.36
2015-09-30,46.94,$5.13,9.15
2015-06-30,55.98,$5.55,10.09
2015-03-31,58.99,$6.11,9.65
2014-12-31,58.68,$6.57,8.93
2014-09-30,57.21,$6.49,8.81
2014-06-30,70.47,$6.19,11.38
2014-03-31,77.35,$6.40,12.09
2013-12-31,73.72,$6.56,11.24
2013-09-30,70.75,$6.96,10.17
