Helix Energy Solutions PE Ratio Historical Data,Helix Energy Solutions PE Ratio Historical Data,Helix Energy Solutions PE Ratio Historical Data,Helix Energy Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.44,,0.0
2024-06-30,11.94,$-0.05,0.0
2024-03-31,10.84,$-0.21,0.0
2023-12-31,10.28,$-0.07,0.0
2023-09-30,11.17,$0.14,79.79
2023-06-30,7.38,$-0.08,0.0
2023-03-31,7.74,$-0.33,0.0
2022-12-31,7.38,$-0.58,0.0
2022-09-30,3.86,$-0.77,0.0
2022-06-30,3.1,$-0.78,0.0
2022-03-31,4.78,$-0.67,0.0
2021-12-31,3.12,$-0.41,0.0
2021-09-30,3.88,$-0.21,0.0
2021-06-30,5.71,$0.08,71.38
2021-03-31,5.05,$0.21,24.05
2020-12-31,4.2,$0.14,30.0
2020-09-30,2.41,$0.16,15.06
2020-06-30,3.47,$0.21,16.52
2020-03-31,1.64,$0.28,5.86
2019-12-31,9.63,$0.38,25.34
2019-09-30,8.06,$0.24,33.58
2019-06-30,8.63,$0.21,41.1
2019-03-31,7.91,$0.22,35.95
2018-12-31,5.41,$0.55,9.84
2018-09-30,9.88,$0.66,14.97
2018-06-30,8.33,$0.44,18.93
2017-12-31,7.54,$0.21,35.9
2017-09-30,7.39,$-0.59,0.0
2017-06-30,5.64,$-0.63,0.0
2017-03-31,7.77,$-0.49,0.0
2016-12-31,8.82,$-0.48,0.0
2018-03-31,5.79,$-0.28,0.0
2016-09-30,8.13,$-4.09,0.0
2016-06-30,6.76,$-4.10,0.0
2016-03-31,5.6,$-4.03,0.0
2015-12-31,5.26,$-3.58,0.0
2015-09-30,4.79,$0.33,14.52
2015-06-30,12.63,$0.95,13.29
2015-03-31,14.96,$1.53,9.78
2014-12-31,21.7,$1.85,11.73
2014-09-30,22.06,$2.12,10.41
2014-06-30,26.31,$1.83,14.38
2014-03-31,22.98,$1.54,14.92
2013-12-31,23.18,$1.05,22.08
2013-09-30,25.37,$-0.94,0.0
2013-06-30,23.04,$-1.22,0.0
2013-03-31,22.88,$-1.06,0.0
2012-12-31,20.64,$-0.46,0.0
2012-09-30,18.27,$1.34,13.63
2012-06-30,16.41,$1.63,10.07
2012-03-31,17.8,$1.60,11.13
2011-12-31,15.8,$1.22,12.95
2011-09-30,13.1,$0.58,22.59
2011-06-30,16.56,$0.40,41.4
2011-03-31,17.2,$-0.81,0.0
2010-12-31,12.14,$-1.22,0.0
2010-09-30,11.14,$-1.27,0.0
2010-06-30,10.77,$-1.48,0.0
2010-03-31,13.03,$0.28,46.54
2009-12-31,11.75,$0.95,12.37
