Kennametal PE Ratio Historical Data,Kennametal PE Ratio Historical Data,Kennametal PE Ratio Historical Data,Kennametal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.15,,19.09
2024-06-30,23.35,$1.37,17.04
2024-03-31,24.55,$1.35,18.18
2023-12-31,25.18,$1.50,16.79
2023-09-30,24.08,$1.48,16.27
2023-06-30,27.28,$1.45,18.82
2023-03-31,26.31,$1.50,17.54
2022-12-31,22.79,$1.53,14.9
2022-09-30,19.34,$1.63,11.87
2022-06-30,21.66,$1.72,12.6
2022-03-31,26.48,$1.63,16.25
2021-12-31,33.04,$1.47,22.48
2021-09-30,31.33,$1.33,23.56
2021-06-30,32.7,$0.64,51.09
2021-03-31,36.21,$0.12,301.73
2020-12-31,32.65,$-0.11,0.0
2020-09-30,25.92,$-0.41,0.0
2020-06-30,25.54,$-0.07,0.0
2020-03-31,16.43,$0.78,21.06
2019-12-31,32.33,$1.57,20.59
2019-09-30,26.78,$2.30,11.65
2019-06-30,32.01,$3.05,10.49
2019-03-31,31.62,$2.92,10.83
2018-12-31,28.48,$2.60,10.95
2018-06-30,30.4,$2.42,12.56
2018-03-31,33.84,$1.89,17.9
2017-12-31,40.6,$1.96,20.71
2017-09-30,33.68,$1.94,17.36
2017-06-30,31.05,$1.55,20.03
2018-09-30,37.08,$0.98,37.84
2017-03-31,32.39,$-0.53,0.0
2016-12-31,25.67,$-0.81,0.0
2016-09-30,23.67,$-3.02,0.0
2016-06-30,17.91,$-2.83,0.0
2016-03-31,18.06,$-1.74,0.0
2015-12-31,15.24,$-2.52,0.0
2015-09-30,19.62,$-5.29,0.0
2015-06-30,26.72,$-4.72,0.0
2015-03-31,26.26,$-4.41,0.0
2014-12-31,27.76,$-3.19,0.0
2014-09-30,31.89,$2.00,15.95
2014-06-30,35.58,$1.99,17.88
2014-03-31,33.93,$2.18,15.56
2013-12-31,39.71,$2.21,17.97
2013-09-30,34.64,$2.43,14.26
2013-06-30,29.38,$2.52,11.66
2013-03-31,29.42,$2.82,10.43
2012-12-31,30.03,$3.08,9.75
2012-09-30,27.72,$3.47,7.99
2012-06-30,24.67,$3.78,6.53
2012-03-31,33.03,$3.76,8.78
2011-12-31,27.0,$3.60,7.5
2011-09-30,24.12,$3.21,7.52
2011-06-30,30.99,$2.75,11.27
2011-03-31,28.55,$2.20,12.98
2010-12-31,28.8,$1.55,18.58
2010-09-30,22.49,$1.10,20.45
2010-06-30,18.41,$0.56,32.88
2010-03-31,20.28,$-0.38,0.0
2009-12-31,18.6,$-2.40,0.0
