Cousins Properties PE Ratio Historical Data,Cousins Properties PE Ratio Historical Data,Cousins Properties PE Ratio Historical Data,Cousins Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.5,,80.77
2024-06-30,22.58,$0.39,57.89
2024-03-31,23.12,$0.49,47.19
2023-12-31,23.11,$0.55,42.02
2023-09-30,19.01,$0.59,32.22
2023-06-30,20.98,$0.99,21.2
2023-03-31,19.38,$1.07,18.11
2022-12-31,22.63,$2.04,11.09
2022-09-30,20.62,$2.24,9.21
2022-06-30,25.54,$1.90,13.44
2021-12-31,34.65,$1.87,18.53
2021-09-30,31.82,$0.82,38.81
2021-06-30,31.12,$0.65,47.88
2021-03-31,29.65,$0.62,47.83
2020-12-31,28.1,$1.60,17.56
2020-09-30,23.53,$2.33,10.1
2020-06-30,24.31,$2.28,10.66
2020-03-31,23.6,$1.92,12.29
2019-12-31,32.98,$1.06,31.11
2019-09-30,29.86,$0.46,64.9
2019-06-30,28.5,$0.52,54.82
2019-03-31,30.22,$0.92,32.85
2018-12-31,24.51,$0.76,32.25
2018-09-30,27.38,$0.84,32.59
2018-06-30,29.64,$0.76,39.0
2018-03-31,26.35,$2.16,12.2
2017-12-31,28.08,$2.04,13.76
2017-09-30,28.17,$2.16,13.04
2017-06-30,26.34,$2.28,11.55
2017-03-31,24.62,$0.84,29.3
2016-12-31,24.96,$1.24,20.13
2016-09-30,21.96,$1.92,11.44
2016-06-30,21.71,$2.68,8.1
2016-03-31,21.51,$2.68,8.03
2015-12-31,19.36,$2.36,8.2
2015-09-30,18.76,$1.72,10.91
2015-06-30,20.96,$1.08,19.4
2015-03-31,21.23,$0.88,24.12
2014-12-31,22.71,$0.88,25.8
2014-09-30,23.6,$0.48,49.17
2014-06-30,24.44,$1.56,15.67
2014-03-31,22.37,$1.40,15.98
2013-12-31,19.95,$3.32,6.01
2013-09-30,19.85,$4.44,4.47
2013-06-30,19.4,$3.36,5.77
2013-03-31,20.44,$3.80,5.38
2012-12-31,15.89,$1.24,12.81
2012-09-30,15.03,$-4.88,0.0
2012-06-30,14.58,$-5.24,0.0
2012-03-31,14.18,$-5.68,0.0
2011-12-31,11.92,$-5.48,0.0
2011-09-30,10.79,$-0.88,0.0
2011-06-30,15.65,$-1.20,0.0
2011-03-31,15.23,$-1.36,0.0
2010-12-31,15.13,$-1.12,0.0
2010-09-30,12.8,$-1.08,0.0
2010-06-30,11.93,$-4.56,0.0
2010-03-31,14.54,$-10.44,0.0
2009-12-31,13.2,$2.16,6.11
2009-09-30,14.16,$2.67,5.3
