Star Bulk Carriers PE Ratio Historical Data,Star Bulk Carriers PE Ratio Historical Data,Star Bulk Carriers PE Ratio Historical Data,Star Bulk Carriers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.17,,7.42
2024-06-30,23.6,$2.72,8.68
2024-03-31,22.44,$2.22,10.11
2023-12-31,19.62,$1.77,11.09
2023-09-30,17.62,$2.16,8.16
2023-06-30,15.81,$2.78,5.69
2023-03-31,18.52,$4.30,4.31
2022-12-31,16.45,$5.53,2.97
2022-09-30,14.07,$7.62,1.85
2022-06-30,18.8,$8.70,2.16
2022-03-31,21.21,$7.97,2.66
2021-12-31,15.09,$6.66,2.27
2021-09-30,15.11,$4.02,3.76
2021-06-30,13.95,$2.11,6.61
2021-03-31,8.79,$0.43,20.44
2020-12-31,5.29,$0.10,52.86
2020-09-30,4.12,$0.05,82.49
2020-06-30,3.95,$-0.13,0.0
2020-03-31,3.38,$-0.11,0.0
2019-12-31,7.03,$-0.20,0.0
2019-09-30,5.97,$-0.31,0.0
2019-06-30,5.72,$-0.07,0.0
2019-03-31,3.9,$0.54,7.22
2018-12-31,5.42,$0.75,7.22
2018-09-30,8.56,$0.99,8.65
2018-06-30,7.62,$0.57,13.37
2018-03-31,6.89,$0.24,28.71
2017-12-31,6.67,$-0.17,0.0
2017-09-30,5.75,$-1.12,0.0
2017-06-30,5.82,$-1.86,0.0
2017-03-31,7.04,$-2.45,0.0
2016-12-31,3.03,$-3.30,0.0
2016-09-30,2.69,$-3.67,0.0
2016-06-30,1.75,$-4.11,0.0
2016-03-31,2.22,$-3.76,0.0
2015-09-30,6.07,$-2.65,0.0
2015-03-31,10.75,$-2.20,0.0
2014-12-31,19.43,$-1.05,0.0
2014-09-30,32.65,$-0.65,0.0
2014-06-30,38.42,$-0.65,0.0
2014-03-31,42.28,$-0.20,0.0
2015-12-31,1.79,$0.70,2.56
2013-12-31,39.49,$1.75,22.57
2013-09-30,30.01,$0.45,66.69
2013-06-30,16.21,$-285.25,0.0
2013-03-31,21.09,$-290.50,0.0
2012-12-31,18.31,$-291.55,0.0
2012-09-30,26.77,$-354.72,0.0
2012-06-30,31.09,$-71.96,0.0
2012-03-31,38.06,$-65.22,0.0
2011-12-31,37.07,$-62.97,0.0
2011-09-30,51.6,$26.24,1.97
2011-06-30,80.05,$30.74,2.6
2011-03-31,90.75,$35.98,2.52
2010-12-31,99.02,$-6.75,0.0
2010-09-30,103.87,$-36.73,0.0
2010-06-30,86.71,$-127.44,0.0
2010-03-31,102.32,$-139.43,0.0
2009-12-31,97.45,$-71.21,0.0
