Autolus Therapeutics PE Ratio Historical Data,Autolus Therapeutics PE Ratio Historical Data,Autolus Therapeutics PE Ratio Historical Data,Autolus Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.7,,0.0
2024-06-30,3.48,$-1.16,0.0
2024-03-31,6.38,$-1.20,0.0
2023-12-31,6.44,$-1.19,0.0
2023-09-30,2.33,$-0.98,0.0
2023-06-30,2.38,$-1.19,0.0
2023-03-31,1.84,$-1.39,0.0
2022-12-31,1.9,$-1.57,0.0
2022-09-30,2.14,$-1.85,0.0
2022-06-30,2.83,$-1.85,0.0
2022-03-31,4.17,$-1.86,0.0
2021-12-31,5.19,$-1.98,0.0
2021-09-30,6.55,$-2.29,0.0
2021-06-30,6.64,$-2.54,0.0
2021-03-31,5.73,$-2.69,0.0
2020-12-31,8.94,$-2.76,0.0
2020-09-30,11.64,$-2.87,0.0
2020-06-30,16.03,$-2.76,0.0
2020-03-31,5.99,$-2.79,0.0
2019-12-31,13.2,$-2.88,0.0
2019-09-30,12.42,$-2.47,0.0
2019-06-30,16.1,$-1.86,0.0
2019-03-31,31.47,$-1.21,0.0
