ONE Gas PE Ratio Historical Data,ONE Gas PE Ratio Historical Data,ONE Gas PE Ratio Historical Data,ONE Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.48,,18.86
2024-06-30,63.22,$3.95,16.01
2024-03-31,63.24,$4.05,15.62
2023-12-31,61.78,$4.14,14.92
2023-09-30,65.5,$4.10,15.98
2023-06-30,73.04,$4.09,17.86
2023-03-31,74.73,$4.10,18.23
2022-12-31,70.84,$4.09,17.32
2022-09-30,65.36,$3.98,16.42
2022-06-30,74.82,$3.92,19.09
2022-03-31,80.73,$3.89,20.75
2021-12-31,70.43,$3.85,18.29
2021-09-30,57.02,$3.82,14.93
2021-06-30,66.17,$3.83,17.28
2021-03-31,68.14,$3.75,18.17
2020-12-31,67.48,$3.68,18.34
2020-09-30,60.24,$3.55,16.97
2020-06-30,66.78,$3.49,19.13
2020-03-31,71.97,$3.47,20.74
2019-12-31,80.08,$3.51,22.81
2019-09-30,81.78,$3.39,24.12
2019-06-30,76.41,$3.37,22.67
2019-03-31,74.91,$3.30,22.7
2018-12-31,66.58,$3.26,20.42
2018-09-30,68.44,$3.31,20.68
2018-06-30,61.79,$3.36,18.39
2018-03-31,54.24,$3.36,16.14
2017-12-31,59.77,$3.08,19.41
2017-09-30,59.75,$2.99,19.98
2017-06-30,56.32,$2.87,19.62
2017-03-31,54.2,$2.86,18.95
2016-12-31,50.95,$2.64,19.3
2016-09-30,48.98,$2.58,18.98
2016-06-30,52.45,$2.48,21.15
2016-03-31,47.84,$2.33,20.53
2015-12-31,39.06,$2.24,17.44
2015-09-30,35.07,$2.19,16.01
2015-06-30,32.7,$2.14,15.28
2015-03-31,32.98,$2.09,15.78
2014-12-31,31.22,$2.09,14.94
