J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,114.68,,16.11
2024-04-30,112.78,$7.12,15.84
2024-01-31,128.09,$-0.88,0.0
2023-10-31,109.8,$-0.06,0.0
2023-07-31,144.22,$-0.17,0.0
2023-04-30,146.87,$-0.93,0.0
2023-01-31,144.33,$6.64,21.74
2022-10-31,141.33,$5.33,26.52
2022-07-31,123.18,$5.44,22.64
2022-04-30,126.6,$5.83,21.72
2022-01-31,129.02,$5.31,24.3
2021-10-31,111.89,$6.99,16.01
2021-07-31,118.51,$7.11,16.67
2021-04-30,117.62,$7.77,15.14
2021-01-31,103.71,$8.40,12.35
2020-10-31,99.2,$7.72,12.85
2020-07-31,95.93,$7.55,12.71
2020-04-30,100.04,$6.83,14.65
2020-01-31,89.47,$5.48,16.33
2019-10-31,90.49,$4.91,18.43
2019-07-31,94.48,$4.72,20.02
2019-04-30,103.5,$4.53,22.85
2019-01-31,87.78,$5.54,15.85
2018-10-31,89.99,$11.79,7.63
2018-07-31,91.62,$10.13,9.04
2018-04-30,93.42,$10.67,8.76
2018-01-31,103.23,$10.15,10.17
2024-07-31,116.89,$3.79,30.84
2017-10-31,85.62,$4.95,17.3
2017-07-31,97.8,$4.76,20.55
2017-04-30,101.06,$5.10,19.82
2017-01-31,107.75,$5.75,18.74
2016-10-31,103.56,$6.14,16.87
2016-07-31,121.0,$6.09,19.87
2016-04-30,99.15,$5.77,17.18
2016-01-31,99.68,$3.34,29.84
2015-10-31,90.66,$3.37,26.9
2015-07-31,85.73,$3.45,24.85
2015-04-30,88.49,$3.45,25.65
2015-01-31,78.29,$5.43,14.42
2014-10-31,78.44,$5.44,14.42
2014-07-31,74.68,$5.35,13.96
2014-04-30,72.04,$5.40,13.34
2014-01-31,71.38,$5.46,13.07
2013-10-31,81.92,$5.29,15.49
2013-07-31,82.46,$5.19,15.89
2013-04-30,75.28,$5.00,15.06
2013-01-31,64.26,$4.71,13.64
2012-10-31,61.72,$4.32,14.29
2012-07-31,54.97,$4.08,13.47
2012-04-30,56.64,$4.06,13.95
2012-01-31,55.7,$3.95,14.1
2011-10-31,54.12,$4.03,13.43
2011-07-31,54.39,$4.16,13.07
2011-04-30,52.09,$4.04,12.89
2011-01-31,42.84,$4.23,10.13
2010-10-31,44.02,$4.26,10.33
2010-07-31,41.78,$4.19,9.97
2010-04-30,41.25,$4.16,9.92
2010-01-31,40.34,$3.95,10.21
2009-10-31,35.18,$3.49,10.08
