Vishay Intertechnology PE Ratio Historical Data,Vishay Intertechnology PE Ratio Historical Data,Vishay Intertechnology PE Ratio Historical Data,Vishay Intertechnology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.45,,15.0
2024-06-30,22.18,$1.23,18.03
2024-03-31,22.46,$1.74,12.91
2023-12-31,23.63,$2.31,10.23
2023-09-30,24.26,$2.45,9.9
2023-06-30,28.74,$2.96,9.71
2023-03-31,22.03,$2.99,7.37
2022-12-31,20.91,$2.45,8.54
2022-09-30,17.17,$2.61,6.58
2022-03-31,18.71,$2.27,8.24
2021-12-31,20.78,$2.05,10.13
2021-09-30,18.99,$2.06,9.22
2021-06-30,21.22,$2.17,9.78
2021-03-31,22.57,$1.76,12.82
2020-12-31,19.34,$1.44,13.43
2022-06-30,17.11,$1.37,12.49
2020-09-30,14.47,$0.69,20.96
2020-06-30,14.1,$0.67,21.04
2020-03-31,13.22,$0.81,16.32
2019-12-31,19.41,$1.14,17.03
2019-09-30,15.36,$1.73,8.88
2019-06-30,14.91,$2.03,7.35
2019-03-31,16.57,$2.37,6.99
2018-12-31,16.09,$2.24,7.18
2018-09-30,18.1,$0.32,56.58
2018-06-30,20.56,$0.22,93.45
2018-03-31,16.43,$-0.07,0.0
2017-12-31,18.26,$-0.22,0.0
2017-09-30,16.49,$0.68,24.25
2017-06-30,14.51,$0.51,28.45
2017-03-31,14.33,$0.37,38.72
2016-12-31,14.05,$0.32,43.92
2016-09-30,12.17,$-0.28,0.0
2016-06-30,10.66,$-0.71,0.0
2016-03-31,10.45,$-0.76,0.0
2015-12-31,10.26,$-0.76,0.0
2015-09-30,8.21,$0.34,24.14
2015-06-30,9.84,$0.76,12.94
2014-12-31,11.81,$0.76,15.53
2014-09-30,11.87,$0.77,15.42
2014-06-30,12.82,$0.80,16.03
2014-03-31,12.27,$0.79,15.53
2013-12-31,10.89,$0.83,13.12
2015-03-31,11.58,$0.82,14.12
2013-09-30,10.58,$0.76,13.92
2013-06-30,11.4,$0.69,16.53
2013-03-31,11.17,$0.77,14.51
2012-12-31,8.73,$0.79,11.05
2012-09-30,8.07,$0.84,9.61
2012-06-30,7.74,$1.00,7.74
2012-03-31,9.98,$1.19,8.39
2011-12-31,7.38,$1.41,5.23
2011-09-30,6.86,$2.03,3.38
2011-06-30,12.35,$2.19,5.64
2011-03-31,14.56,$2.11,6.9
2010-12-31,12.05,$1.92,6.28
2010-09-30,7.95,$1.26,6.31
2010-06-30,5.75,$0.80,7.19
2010-03-31,7.6,$0.08,94.98
2009-12-31,6.2,$-0.32,0.0
