Bank Of N.T Butterfield & Son PE Ratio Historical Data,Bank Of N.T Butterfield & Son PE Ratio Historical Data,Bank Of N.T Butterfield & Son PE Ratio Historical Data,Bank Of N.T Butterfield & Son PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.2,,9.07
2024-06-30,34.67,$4.32,8.03
2024-03-31,31.19,$4.45,7.01
2023-12-31,30.76,$4.56,6.75
2023-09-30,25.6,$4.71,5.43
2023-06-30,25.48,$4.87,5.23
2023-03-31,24.7,$4.64,5.32
2022-12-31,26.94,$4.29,6.28
2022-09-30,28.94,$3.87,7.48
2022-06-30,27.44,$3.52,7.79
2022-03-31,31.11,$3.32,9.37
2021-12-31,32.67,$3.26,10.02
2021-09-30,30.1,$3.27,9.21
2021-06-30,29.67,$3.08,9.63
2021-03-31,31.62,$2.96,10.68
2020-12-31,25.46,$2.90,8.78
2020-09-30,17.96,$2.87,6.26
2020-06-30,19.32,$3.05,6.34
2020-03-31,13.19,$3.10,4.26
2019-12-31,28.26,$3.29,8.59
2019-09-30,22.33,$3.39,6.59
2019-06-30,25.2,$3.50,7.2
2019-03-31,26.34,$3.67,7.18
2018-12-31,22.77,$3.50,6.5
2018-09-30,37.32,$3.30,11.31
2018-06-30,32.65,$2.81,11.62
2018-03-31,31.8,$2.57,12.37
2017-12-31,25.51,$1.59,16.04
2016-09-30,16.71,$1.61,10.38
2017-03-31,21.82,$1.85,11.79
