Bank OZK PE Ratio Historical Data,Bank OZK PE Ratio Historical Data,Bank OZK PE Ratio Historical Data,Bank OZK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.76,,7.77
2024-06-30,40.24,$6.02,6.68
2024-03-31,44.22,$5.97,7.41
2023-12-31,48.08,$5.87,8.19
2023-09-30,35.41,$5.71,6.2
2023-06-30,38.04,$5.30,7.18
2023-03-31,32.06,$4.93,6.5
2022-12-31,37.25,$4.54,8.21
2022-09-30,36.5,$4.37,8.35
2022-06-30,34.32,$4.29,8.0
2022-03-31,38.75,$4.35,8.91
2021-12-31,41.97,$4.47,9.39
2021-09-30,38.52,$4.23,9.11
2021-06-30,37.53,$4.07,9.22
2021-03-31,36.11,$3.30,10.94
2020-12-31,27.43,$2.25,12.19
2020-09-30,18.48,$2.10,8.8
2020-06-30,20.1,$2.07,9.71
2020-03-31,14.11,$2.54,5.55
2019-12-31,25.56,$3.31,7.72
2019-09-30,22.63,$3.42,6.62
2019-06-30,24.77,$3.19,7.76
2019-03-31,23.68,$3.22,7.35
2018-12-31,18.5,$3.24,5.71
2018-09-30,30.58,$3.49,8.76
2018-06-30,36.12,$3.66,9.87
2018-03-31,38.55,$3.50,11.01
2017-12-31,38.55,$3.35,11.51
2017-09-30,38.08,$2.93,13.0
2017-06-30,37.0,$2.84,13.03
2017-03-31,41.06,$2.71,15.15
2016-12-31,41.51,$2.55,16.28
2016-09-30,30.31,$2.40,12.63
2016-06-30,29.62,$2.26,13.1
2016-03-31,33.13,$2.17,15.27
2015-12-31,39.04,$2.07,18.86
2015-09-30,34.54,$1.93,17.9
2015-06-30,36.11,$1.81,19.95
2015-03-31,29.15,$1.64,17.78
2014-12-31,29.93,$1.51,19.82
2014-09-30,24.88,$1.41,17.65
2014-06-30,26.4,$1.32,20.08
2014-03-31,26.86,$1.26,21.32
2013-12-31,22.34,$1.20,18.61
2013-09-30,18.83,$1.17,16.17
2013-06-30,16.95,$1.14,14.94
2013-03-31,17.28,$1.13,15.36
2012-12-31,12.99,$1.11,11.75
2012-09-30,13.32,$1.07,12.51
2012-06-30,11.57,$1.07,10.87
2012-03-31,11.98,$1.52,7.89
2011-12-31,11.31,$1.47,7.7
2011-09-30,7.96,$1.46,5.44
2011-06-30,9.86,$1.49,6.64
2011-03-31,8.25,$0.92,8.99
2010-12-31,8.15,$0.94,8.67
2010-09-30,6.94,$0.84,8.31
2010-06-30,6.61,$0.66,9.98
2010-03-31,6.53,$0.64,10.17
2009-12-31,5.41,$0.55,9.93
