Alexander's PE Ratio Historical Data,Alexander's PE Ratio Historical Data,Alexander's PE Ratio Historical Data,Alexander's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,229.77,,22.89
2024-06-30,220.19,$10.04,21.93
2024-03-31,208.43,$20.92,9.96
2023-12-31,200.97,$19.97,10.06
2023-09-30,167.6,$19.37,8.65
2023-06-30,165.19,$20.22,8.17
2023-03-31,169.67,$10.60,16.01
2022-12-31,189.11,$11.25,16.81
2022-09-30,176.2,$23.85,7.39
2022-06-30,184.0,$23.12,7.96
2022-03-31,208.33,$25.28,8.24
2021-12-31,208.13,$25.93,8.03
2021-09-30,205.08,$14.36,14.28
2021-06-30,207.43,$13.43,15.45
2021-03-31,211.21,$10.79,19.58
2020-12-31,207.75,$8.19,25.37
2020-09-30,180.28,$7.41,24.33
2020-06-30,174.05,$9.34,18.63
2020-03-31,195.88,$9.13,21.45
2019-12-31,231.44,$11.73,19.73
2019-09-30,240.91,$10.86,22.18
2019-06-30,252.91,$10.57,23.93
2019-03-31,256.91,$11.80,21.77
2018-12-31,205.24,$6.41,32.02
2018-09-30,227.91,$7.96,28.63
2018-06-30,250.93,$9.00,27.88
2018-03-31,247.14,$9.61,25.72
2017-12-31,253.54,$15.75,16.1
2017-09-30,268.81,$16.48,16.31
2017-06-30,264.48,$16.62,15.91
2017-03-31,268.26,$16.84,15.93
2016-12-31,262.56,$16.91,15.53
2016-09-30,255.33,$17.29,14.77
2016-06-30,246.81,$16.73,14.75
2016-03-31,227.16,$15.86,14.32
2015-12-31,226.76,$15.04,15.08
2015-09-30,218.87,$13.98,15.66
2015-06-30,237.78,$13.89,17.12
2015-03-31,262.65,$13.79,19.05
2014-12-31,249.66,$13.28,18.8
2014-09-30,211.93,$12.82,16.53
2014-06-30,207.6,$12.07,17.2
2014-03-31,200.97,$11.35,17.71
2013-12-31,181.98,$11.14,16.34
2013-09-30,156.38,$128.87,1.21
2013-06-30,159.05,$129.85,1.22
2013-03-31,176.91,$130.98,1.35
2012-12-31,176.02,$132.02,1.33
2012-09-30,165.2,$15.24,10.84
2012-06-30,165.22,$15.55,10.63
2012-03-31,149.53,$15.80,9.46
2011-12-31,139.12,$15.56,8.94
2011-09-30,134.78,$15.02,8.97
2011-06-30,147.03,$14.52,10.13
2011-03-31,149.7,$13.62,10.99
2010-12-31,150.57,$13.01,11.57
2010-09-30,114.62,$12.47,9.19
2010-06-30,109.12,$20.34,5.36
2010-03-31,106.84,$19.84,5.38
2009-12-31,108.73,$25.91,4.2
