Stepan PE Ratio Historical Data,Stepan PE Ratio Historical Data,Stepan PE Ratio Historical Data,Stepan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,76.01,,51.71
2024-06-30,83.56,$1.47,56.84
2023-12-31,93.7,$1.75,53.54
2023-09-30,73.96,$2.27,32.58
2023-06-30,93.89,$2.33,40.29
2023-03-31,100.83,$3.49,28.89
2022-12-31,103.82,$5.05,20.56
2024-03-31,89.61,$6.51,13.76
2022-09-30,91.05,$6.63,13.73
2022-06-30,98.2,$6.51,15.08
2022-03-31,95.45,$6.10,15.65
2021-12-31,119.68,$5.91,20.25
2021-09-30,108.44,$6.48,16.73
2021-06-30,115.17,$6.32,18.22
2021-03-31,121.45,$6.01,20.21
2020-12-31,113.72,$5.45,20.87
2020-09-30,103.62,$5.10,20.32
2020-06-30,92.09,$4.78,19.27
2020-03-31,83.66,$4.54,18.43
2019-12-31,96.59,$4.43,21.8
2019-09-30,91.27,$4.64,19.67
2019-06-30,86.2,$4.94,17.45
2019-03-31,81.84,$4.95,16.53
2018-12-31,69.02,$4.30,16.05
2018-06-30,72.57,$4.08,17.79
2018-03-31,77.15,$3.86,19.99
2017-12-31,73.04,$3.92,18.63
2017-09-30,77.17,$3.86,19.99
2017-06-30,80.17,$3.81,21.04
2017-03-31,72.33,$3.83,18.89
2016-12-31,74.59,$3.67,20.32
2016-09-30,66.34,$3.87,17.14
2016-06-30,54.21,$3.93,13.79
2016-03-31,50.18,$3.81,13.17
2015-12-31,44.94,$3.34,13.45
2018-09-30,81.15,$3.71,21.87
2015-09-30,37.49,$3.03,12.37
2015-06-30,48.56,$2.53,19.19
2015-03-31,37.25,$2.85,13.07
2014-12-31,35.68,$2.49,14.33
2014-09-30,39.34,$2.68,14.68
2014-06-30,46.7,$2.98,15.67
2014-03-31,56.85,$2.91,19.54
2013-12-31,57.63,$3.17,18.18
2013-09-30,50.56,$3.39,14.91
2013-06-30,48.56,$3.39,14.33
2013-03-31,54.94,$3.35,16.43
2012-12-31,48.24,$3.50,13.78
2012-09-30,41.67,$3.41,12.24
2012-06-30,40.71,$3.37,12.1
2012-03-31,37.84,$3.36,11.28
2011-12-31,34.44,$3.21,10.73
2011-09-30,28.75,$3.01,9.57
2011-06-30,30.24,$3.02,10.01
2011-03-31,30.8,$2.85,10.81
2010-12-31,32.28,$2.95,10.94
2010-09-30,24.93,$2.97,8.39
2010-06-30,28.74,$3.01,9.56
2010-03-31,23.39,$3.16,7.41
2009-12-31,26.99,$2.93,9.21
