Banco Bilbao Viscaya Argentaria S.A PE Ratio Historical Data,Banco Bilbao Viscaya Argentaria S.A PE Ratio Historical Data,Banco Bilbao Viscaya Argentaria S.A PE Ratio Historical Data,Banco Bilbao Viscaya Argentaria S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.87,,6.09
2024-06-30,9.72,$1.62,6.0
2024-03-31,11.07,$1.47,7.53
2023-12-31,8.52,$1.39,6.13
2023-09-30,7.37,$1.28,5.76
2023-06-30,7.03,$1.20,5.86
2023-03-31,6.15,$1.11,5.54
2022-12-31,5.24,$1.07,4.9
2022-09-30,3.79,$1.05,3.6
2022-06-30,3.84,$1.01,3.81
2022-03-31,4.62,$0.85,5.44
2021-12-31,4.77,$0.79,6.03
2021-09-30,5.28,$0.77,6.86
2021-06-30,4.98,$0.72,6.91
2021-03-31,4.18,$0.70,5.98
2020-12-31,3.96,$0.17,23.28
2020-09-30,2.2,$-0.08,0.0
2020-06-30,2.72,$-0.08,0.0
2020-03-31,2.32,$0.01,232.1
2019-12-31,4.23,$0.54,7.84
2019-06-30,4.13,$0.77,5.36
2019-03-31,4.13,$0.76,5.44
2018-06-30,4.95,$0.68,7.28
2017-09-30,6.09,$0.63,9.66
2017-06-30,5.71,$0.63,9.06
2016-12-31,4.48,$0.64,7.0
2016-09-30,3.94,$0.65,6.07
2016-06-30,3.68,$0.64,5.76
2019-09-30,3.86,$0.25,15.45
2016-03-31,4.18,$0.27,15.5
2015-12-31,4.54,$0.44,10.33
2015-09-30,5.19,$0.42,12.35
2015-06-30,6.0,$0.75,8.0
2015-03-31,6.1,$0.70,8.71
2014-12-31,5.63,$0.56,10.06
2014-09-30,7.2,$0.24,30.0
2014-06-30,7.53,$0.15,50.23
2014-03-31,7.09,$0.26,27.25
2013-12-31,7.17,$0.53,13.53
2013-09-30,6.47,$0.73,8.86
2013-06-30,4.73,$0.73,6.49
2013-03-31,4.85,$0.58,8.36
2012-12-31,5.14,$0.43,11.95
2012-09-30,4.23,$0.38,11.12
2012-06-30,3.72,$0.58,6.42
2012-03-31,4.11,$0.82,5.02
2011-12-31,4.34,$0.90,4.83
2011-09-30,4.12,$1.26,3.27
2011-06-30,5.78,$1.41,4.1
2011-03-31,5.91,$1.47,4.02
2010-12-31,4.87,$1.57,3.1
2010-09-30,6.16,$1.26,4.89
2010-06-30,4.66,$1.40,3.33
2010-03-31,6.11,$1.55,3.94
2009-12-31,8.05,$1.55,5.19
