Agree Realty PE Ratio Historical Data,Agree Realty PE Ratio Historical Data,Agree Realty PE Ratio Historical Data,Agree Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.89,,42.16
2024-06-30,61.3,$1.80,34.06
2024-03-31,56.06,$1.70,32.98
2023-12-31,60.99,$1.71,35.67
2023-09-30,52.85,$1.71,30.91
2023-06-30,61.82,$1.76,35.12
2023-03-31,64.15,$1.79,35.84
2022-12-31,65.65,$1.83,35.87
2022-09-30,61.9,$1.83,33.83
2022-06-30,65.44,$1.89,34.62
2022-03-31,59.61,$1.78,33.49
2021-12-31,63.44,$1.78,35.64
2021-09-30,58.32,$1.76,33.13
2021-06-30,61.51,$1.70,36.18
2021-03-31,58.19,$1.88,30.95
2020-12-31,57.02,$1.89,30.17
2020-03-31,51.53,$1.92,26.84
2019-12-31,57.88,$1.94,29.84
2019-09-30,59.83,$1.79,33.42
2019-06-30,51.98,$1.77,29.37
2019-03-31,55.78,$1.80,30.99
2018-12-31,47.18,$1.73,27.27
2020-06-30,55.21,$1.89,29.21
2018-09-30,41.99,$1.97,21.32
2018-06-30,41.29,$1.91,21.62
2018-03-31,37.2,$2.06,18.06
2017-12-31,39.41,$2.09,18.86
2017-09-30,37.23,$2.04,18.25
2017-06-30,34.44,$2.23,15.45
2017-03-31,35.63,$2.15,16.57
2016-12-31,33.86,$1.95,17.36
2016-09-30,35.96,$1.86,19.33
2016-06-30,34.75,$2.06,16.87
2016-03-31,27.43,$2.16,12.7
2015-12-31,23.95,$2.17,11.04
2015-09-30,20.74,$2.12,9.78
2015-06-30,19.95,$1.70,11.74
2015-03-31,22.2,$1.45,15.31
2014-12-31,20.65,$1.26,16.39
2020-09-30,53.98,$1.27,42.51
2014-09-30,17.93,$1.28,14.01
2014-06-30,19.49,$1.30,14.99
2014-03-31,19.33,$1.46,13.24
2013-12-31,18.19,$1.50,12.12
2013-09-30,18.65,$1.51,12.35
2013-06-30,17.99,$1.51,11.92
2013-03-31,18.09,$1.61,11.24
2012-12-31,15.87,$1.52,10.44
2012-09-30,14.87,$0.92,16.16
2012-06-30,12.71,$0.94,13.52
2011-12-31,13.51,$0.97,13.93
2011-09-30,11.87,$0.33,35.97
2011-06-30,11.95,$0.95,12.58
2011-03-31,11.8,$1.04,11.35
2010-12-31,13.53,$1.03,13.14
2012-03-31,12.73,$2.53,5.03
2010-09-30,12.8,$2.64,4.85
2010-06-30,11.59,$2.73,4.24
2010-03-31,11.12,$2.78,4.0
2009-12-31,11.09,$2.11,5.25
