StepStone Group PE Ratio Historical Data,StepStone Group PE Ratio Historical Data,StepStone Group PE Ratio Historical Data,StepStone Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.98,,80.24
2024-06-30,45.89,$0.76,60.38
2024-03-31,35.74,$0.90,39.71
2023-12-31,31.83,$0.90,35.37
2023-09-30,31.58,$1.11,28.45
2023-06-30,24.81,$0.21,118.14
2023-03-31,24.27,$-0.31,0.0
2022-12-31,25.18,$-0.08,0.0
2022-09-30,24.51,$0.86,28.5
2022-06-30,25.84,$2.79,9.26
2022-03-31,32.57,$4.03,8.08
2021-12-31,40.78,$4.56,8.94
2021-09-30,41.68,$4.60,9.06
2021-06-30,33.58,$3.12,10.76
