Sensient Technologies PE Ratio Historical Data,Sensient Technologies PE Ratio Historical Data,Sensient Technologies PE Ratio Historical Data,Sensient Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,78.68,,38.01
2024-06-30,73.76,$2.07,35.64
2024-03-31,68.41,$2.15,31.82
2023-12-31,64.82,$2.22,29.2
2023-09-30,57.04,$3.05,18.7
2023-06-30,68.92,$3.15,21.88
2023-03-31,73.78,$3.26,22.63
2022-12-31,69.9,$3.34,20.93
2022-09-30,66.07,$3.30,20.02
2022-06-30,76.4,$3.25,23.51
2022-03-31,79.22,$2.94,26.95
2021-12-31,93.97,$2.81,33.44
2021-09-30,85.17,$2.75,30.97
2021-06-30,80.58,$2.73,29.52
2021-03-31,72.27,$2.84,25.45
2020-12-31,68.0,$2.58,26.36
2020-09-30,52.91,$1.59,33.27
2020-06-30,47.44,$1.56,30.41
2020-03-31,39.24,$1.65,23.78
2019-12-31,59.22,$1.94,30.53
2019-09-30,61.14,$3.12,19.6
2019-06-30,65.09,$3.49,18.65
2019-03-31,59.75,$3.60,16.6
2018-12-31,48.94,$3.71,13.19
2018-09-30,66.68,$3.24,20.58
2018-06-30,62.06,$2.85,21.78
2018-03-31,60.93,$2.62,23.26
2017-12-31,62.85,$2.03,30.96
2017-09-30,65.8,$2.42,27.19
2017-06-30,68.61,$2.48,27.66
2017-03-31,67.27,$2.42,27.8
2016-12-31,66.44,$2.81,23.64
2016-09-30,63.83,$2.54,25.13
2016-06-30,59.6,$2.35,25.36
2016-03-31,53.02,$2.35,22.56
2015-12-31,52.24,$2.30,22.71
2015-09-30,50.77,$2.40,21.15
2015-06-30,56.38,$2.24,25.17
2015-03-31,56.61,$2.20,25.73
2014-12-31,49.39,$2.12,23.3
2014-09-30,42.67,$2.22,19.22
2014-06-30,45.21,$2.43,18.6
2013-12-31,39.0,$2.27,17.18
2013-09-30,38.32,$2.26,16.96
2013-06-30,32.21,$1.59,20.26
2013-03-31,30.93,$1.60,19.33
2012-12-31,27.98,$1.87,14.96
2014-03-31,45.56,$1.90,23.98
2012-09-30,28.74,$2.51,11.45
2012-06-30,28.54,$2.49,11.46
2012-03-31,29.35,$2.46,11.93
2011-12-31,29.12,$2.41,12.08
2011-09-30,24.87,$2.36,10.54
2011-06-30,28.14,$2.31,12.18
2011-03-31,27.05,$2.22,12.19
2010-12-31,27.55,$2.17,12.7
2010-09-30,22.74,$1.98,11.48
2010-06-30,19.21,$1.86,10.33
2010-03-31,21.39,$1.81,11.82
2009-12-31,19.21,$1.78,10.79
