Royal Caribbean Cruises PE Ratio Historical Data,Royal Caribbean Cruises PE Ratio Historical Data,Royal Caribbean Cruises PE Ratio Historical Data,Royal Caribbean Cruises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,164.62,,17.95
2024-06-30,159.43,$9.17,17.39
2024-03-31,139.01,$7.76,17.91
2023-12-31,129.49,$6.22,20.82
2023-09-30,92.14,$3.20,28.79
2023-06-30,103.74,$-2.50,0.0
2023-03-31,65.3,$-8.78,0.0
2022-12-31,49.43,$-13.92,0.0
2022-06-30,34.91,$-17.55,0.0
2022-03-31,83.78,$-20.79,0.0
2021-12-31,76.9,$-20.87,0.0
2021-09-30,88.95,$-21.63,0.0
2021-06-30,85.28,$-22.33,0.0
2021-03-31,85.61,$-24.87,0.0
2020-12-31,74.69,$-27.12,0.0
2020-09-30,64.73,$-19.73,0.0
2020-06-30,50.3,$-9.24,0.0
2020-03-31,32.17,$0.84,38.3
2019-12-31,131.95,$8.94,14.76
2019-09-30,106.41,$9.14,11.64
2019-06-30,118.24,$8.80,13.44
2019-03-31,111.16,$8.74,12.72
2018-12-31,94.28,$8.57,11.0
2018-09-30,124.42,$8.41,14.79
2018-06-30,98.68,$8.04,12.27
2018-03-31,111.51,$7.56,14.75
2017-12-31,112.43,$7.53,14.93
2017-09-30,111.19,$7.40,15.03
2017-06-30,101.93,$7.12,14.32
2017-03-31,91.16,$6.47,14.09
2016-12-31,75.84,$5.94,12.77
2016-09-30,68.89,$5.67,12.15
2016-06-30,61.32,$3.49,17.57
2016-03-31,74.65,$3.27,22.83
2015-12-31,91.48,$3.01,30.39
2015-09-30,80.21,$2.56,31.33
2015-06-30,70.57,$3.72,18.97
2015-03-31,73.11,$3.50,20.89
2014-12-31,73.34,$3.43,21.38
2014-09-30,59.64,$3.06,19.49
2014-06-30,49.06,$0.90,54.52
2022-09-30,37.9,$1.93,19.64
2014-03-31,47.92,$1.91,25.09
2013-12-31,41.45,$2.14,19.37
2013-09-30,33.27,$0.31,107.31
2013-06-30,28.79,$0.34,84.67
2013-03-31,28.59,$0.21,136.16
2012-12-31,29.17,$0.07,416.67
2012-09-30,25.83,$2.04,12.66
2012-06-30,22.17,$2.18,10.17
2012-03-31,24.96,$2.63,9.49
2011-12-31,20.93,$2.84,7.37
2011-09-30,18.21,$2.87,6.35
2011-06-30,31.54,$2.69,11.73
2011-03-31,34.58,$2.54,13.61
2010-12-31,39.39,$2.14,18.4
2010-09-30,26.42,$3.01,8.78
2010-06-30,19.08,$1.21,15.77
2009-12-31,21.18,$0.76,27.87
2009-09-30,20.18,$1.14,17.7
