Upbound PE Ratio Historical Data,Upbound PE Ratio Historical Data,Upbound PE Ratio Historical Data,Upbound PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.59,,31.21
2024-06-30,30.32,$0.98,30.94
2024-03-31,34.0,$-0.46,0.0
2023-12-31,32.8,$-0.91,0.0
2023-09-30,27.8,$-0.80,0.0
2023-06-30,29.38,$-0.55,0.0
2022-12-31,20.76,$0.20,103.81
2022-09-30,15.58,$0.30,51.95
2022-06-30,17.31,$1.24,13.96
2022-03-31,21.75,$1.22,17.82
2021-12-31,41.47,$2.20,18.85
2023-03-31,22.57,$2.69,8.39
2021-09-30,48.18,$2.85,16.91
2021-06-30,45.26,$3.69,12.27
2021-03-31,48.64,$3.49,13.94
2020-12-31,32.3,$3.73,8.66
2020-09-30,24.76,$3.45,7.18
2020-06-30,22.79,$2.86,7.97
2020-03-31,11.45,$3.86,2.97
2019-12-31,23.11,$3.11,7.43
2019-09-30,20.67,$2.42,8.54
2019-06-30,21.13,$2.10,10.06
2019-03-31,16.56,$0.65,25.48
2018-12-31,12.85,$0.15,85.66
2018-09-30,11.41,$0.77,14.82
2018-06-30,11.68,$0.29,40.28
2018-03-31,6.85,$-0.13,0.0
2017-12-31,8.81,$0.11,80.08
2017-09-30,9.11,$-3.30,0.0
2017-06-30,9.3,$-2.94,0.0
2017-03-31,6.99,$-2.58,0.0
2016-12-31,8.73,$-1.98,0.0
2016-09-30,9.81,$-16.42,0.0
2016-06-30,9.47,$-16.62,0.0
2016-03-31,12.14,$-16.38,0.0
2015-12-31,11.41,$-16.34,0.0
2015-09-30,18.2,$1.34,13.58
2015-06-30,21.06,$1.90,11.08
2015-03-31,20.21,$1.80,11.23
2014-12-31,26.52,$1.83,14.49
2014-09-30,22.02,$1.60,13.76
2014-06-30,20.65,$1.63,12.67
2014-03-31,18.84,$2.06,9.14
2013-12-31,23.61,$2.33,10.13
2013-09-30,26.8,$2.75,9.75
2013-06-30,26.26,$2.98,8.81
2012-12-31,23.76,$3.09,7.69
2012-09-30,24.08,$3.11,7.74
2012-06-30,23.06,$3.24,7.12
2012-03-31,25.59,$3.02,8.47
2011-12-31,25.09,$2.78,9.02
2013-03-31,25.54,$2.64,9.68
2011-09-30,18.43,$2.33,7.91
2011-06-30,20.51,$2.43,8.44
2011-03-31,23.27,$2.52,9.23
2010-12-31,21.48,$2.60,8.26
2010-09-30,14.86,$2.77,5.36
2010-06-30,13.41,$2.70,4.97
2010-03-31,15.66,$2.61,6.0
2009-12-31,11.73,$2.52,4.65
