Himax Technologies PE Ratio Historical Data,Himax Technologies PE Ratio Historical Data,Himax Technologies PE Ratio Historical Data,Himax Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.36,,14.79
2024-06-30,7.94,$0.43,18.47
2024-03-31,5.16,$0.27,19.12
2023-12-31,5.86,$0.29,20.19
2023-09-30,5.63,$0.40,14.09
2023-06-30,6.51,$0.39,16.7
2023-03-31,7.33,$0.78,9.39
2022-12-31,5.6,$1.35,4.15
2022-09-30,4.36,$1.93,2.26
2022-06-30,6.74,$2.56,2.63
2022-03-31,8.39,$2.78,3.02
2021-12-31,12.35,$2.50,4.94
2021-09-30,8.24,$1.88,4.38
2021-06-30,12.87,$1.25,10.3
2021-03-31,10.37,$0.64,16.2
2020-12-31,5.61,$0.28,20.05
2020-09-30,2.7,$0.09,30.05
2020-06-30,3.14,$0.00,0.0
2020-03-31,2.08,$-0.04,0.0
2019-12-31,2.02,$-0.07,0.0
2019-09-30,1.72,$-0.03,0.0
2019-06-30,2.64,$0.02,132.17
2019-03-31,2.42,$0.06,40.39
2018-12-31,2.61,$0.05,52.11
2018-09-30,4.47,$0.14,31.9
2018-06-30,5.59,$0.15,37.3
2018-03-31,4.62,$0.14,33.0
2017-12-31,7.81,$0.17,45.97
2017-09-30,8.2,$0.06,136.61
2017-06-30,5.97,$0.12,49.78
2017-03-31,6.64,$0.24,27.68
2016-12-31,4.4,$0.31,14.19
2016-09-30,6.26,$0.32,19.55
2016-06-30,5.93,$0.23,25.8
2016-03-31,8.08,$0.16,50.48
2015-12-31,5.89,$0.15,39.28
2015-09-30,5.73,$0.20,28.63
2015-06-30,5.77,$0.28,20.61
2015-03-31,4.39,$0.37,11.86
2014-12-31,5.59,$0.39,14.32
2014-09-30,7.03,$0.39,18.04
2014-06-30,4.56,$0.39,11.68
2014-03-31,7.65,$0.36,21.25
2013-12-31,9.77,$0.35,27.91
2013-09-30,6.64,$0.34,19.53
2013-06-30,3.31,$0.33,10.04
2013-03-31,3.45,$0.31,11.12
2012-12-31,1.52,$0.30,5.08
2012-09-30,1.24,$0.24,5.18
2012-06-30,1.15,$0.18,6.36
2012-03-31,1.26,$0.11,11.44
2011-12-31,0.61,$0.11,5.56
2011-09-30,0.68,$0.09,7.53
2011-03-31,1.37,$0.16,8.55
2010-12-31,1.36,$0.17,8.01
2010-09-30,1.43,$0.16,8.94
2010-06-30,1.55,$0.21,7.38
2010-03-31,1.66,$0.22,7.55
2009-12-31,1.48,$0.21,7.03
2009-09-30,1.77,$0.17,10.43
