Trustmark PE Ratio Historical Data,Trustmark PE Ratio Historical Data,Trustmark PE Ratio Historical Data,Trustmark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.31,,11.65
2024-06-30,29.83,$3.03,9.85
2024-03-31,27.7,$2.57,10.78
2023-12-31,27.24,$2.71,10.05
2023-09-30,21.02,$1.56,13.47
2023-06-30,20.23,$1.69,11.97
2023-03-31,23.4,$1.51,15.5
2022-12-31,32.81,$1.16,28.29
2022-09-30,28.61,$2.14,13.37
2022-06-30,27.07,$1.79,15.12
2022-03-31,27.96,$1.99,14.05
2021-12-31,29.65,$2.34,12.67
2021-09-30,29.21,$2.73,10.7
2021-06-30,27.72,$3.25,8.53
2021-03-31,30.09,$3.00,10.03
2020-12-31,24.23,$2.53,9.58
2020-09-30,18.82,$2.25,8.36
2020-06-30,21.34,$2.03,10.51
2020-03-31,20.09,$2.17,9.26
2019-12-31,29.51,$2.33,12.67
2019-09-30,28.98,$2.35,12.33
2019-06-30,28.05,$2.25,12.47
2019-03-31,28.17,$2.19,12.86
2018-12-31,23.66,$2.22,10.66
2018-09-30,28.01,$1.90,14.74
2018-06-30,26.98,$1.87,14.43
2018-03-31,25.58,$1.63,15.69
2017-12-31,25.97,$1.55,16.75
2017-09-30,26.81,$1.75,15.32
2017-06-30,25.83,$1.70,15.2
2017-03-31,25.35,$1.67,15.18
2016-12-31,28.23,$1.61,17.53
2016-09-30,21.68,$1.59,13.63
2016-06-30,19.39,$1.55,12.51
2016-03-31,17.8,$1.68,10.6
2015-12-31,17.63,$1.71,10.31
2015-09-30,17.57,$1.72,10.21
2015-06-30,18.75,$1.80,10.42
2015-03-31,18.06,$1.84,9.81
2014-12-31,18.07,$1.84,9.82
2014-09-30,16.8,$1.84,9.13
2014-06-30,17.84,$1.83,9.75
2014-03-31,18.13,$1.80,10.07
2013-12-31,19.01,$1.75,10.86
2013-09-30,17.99,$1.76,10.22
2013-06-30,17.11,$1.73,9.89
2013-03-31,17.26,$1.72,10.04
2012-12-31,15.35,$1.81,8.48
2012-09-30,16.46,$1.76,9.35
2012-06-30,16.4,$1.72,9.53
2012-03-31,16.58,$1.76,9.42
2011-12-31,15.97,$1.66,9.62
2011-09-30,11.8,$1.67,7.06
2011-06-30,15.05,$1.65,9.12
2011-03-31,14.91,$1.57,9.5
2010-12-31,15.66,$1.57,9.98
2010-09-30,13.56,$1.41,9.62
2010-06-30,12.83,$1.40,9.17
2010-03-31,14.91,$1.22,12.22
2009-12-31,13.62,$1.26,10.81
