LeMaitre Vascular PE Ratio Historical Data,LeMaitre Vascular PE Ratio Historical Data,LeMaitre Vascular PE Ratio Historical Data,LeMaitre Vascular PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,89.69,,53.71
2024-06-30,82.12,$1.67,49.18
2024-03-31,66.1,$1.51,43.77
2023-12-31,56.4,$1.34,42.09
2023-09-30,53.99,$1.21,44.62
2023-06-30,66.51,$1.13,58.86
2023-03-31,50.77,$0.93,54.59
2022-12-31,45.26,$0.93,48.67
2022-09-30,49.71,$0.96,51.78
2022-06-30,44.57,$1.01,44.13
2022-03-31,45.34,$1.25,36.27
2021-12-31,48.88,$1.26,38.79
2021-09-30,51.55,$1.32,39.05
2021-06-30,59.13,$1.39,42.54
2021-03-31,47.16,$1.16,40.66
2020-12-31,39.06,$1.04,37.56
2020-09-30,31.3,$0.93,33.65
2020-06-30,25.32,$0.81,31.26
2020-03-31,23.81,$0.87,27.37
2019-12-31,34.24,$0.88,38.91
2019-09-30,32.48,$0.95,34.18
2019-06-30,26.51,$0.91,29.13
2019-03-31,29.28,$1.11,26.38
2018-12-31,22.27,$1.13,19.71
2018-09-30,36.4,$1.04,35.0
2018-06-30,31.4,$1.08,29.07
2018-03-31,33.91,$0.88,38.53
2017-12-31,29.74,$0.85,34.99
2017-09-30,34.9,$0.77,45.32
2017-06-30,29.07,$0.69,42.13
2017-03-31,22.89,$0.60,38.15
2016-12-31,23.5,$0.55,42.72
2016-09-30,18.36,$0.55,33.39
2016-06-30,13.17,$0.49,26.88
2016-03-31,14.28,$0.45,31.74
2015-12-31,15.82,$0.42,37.67
2015-09-30,11.15,$0.40,27.88
2015-06-30,11.0,$0.34,32.35
2015-03-31,7.61,$0.32,23.79
2014-12-31,6.92,$0.23,30.07
2014-09-30,6.19,$0.17,36.41
2014-06-30,7.41,$0.17,43.56
2014-03-31,7.19,$0.15,47.96
2013-12-31,7.11,$0.21,33.85
2013-09-30,5.93,$0.20,29.63
2013-06-30,5.76,$0.19,30.31
2013-03-31,5.43,$0.18,30.18
2012-12-31,5.0,$0.15,33.37
2012-09-30,5.58,$0.13,42.89
2012-06-30,5.19,$0.17,30.53
2012-03-31,5.07,$0.15,33.8
2011-12-31,5.07,$0.13,39.02
2011-09-30,5.31,$0.24,22.13
2011-06-30,6.02,$0.25,24.07
2011-03-31,5.78,$0.31,18.65
2010-12-31,5.73,$0.37,15.49
2010-09-30,5.97,$0.32,18.65
2010-06-30,4.74,$0.31,15.29
2010-03-31,3.81,$0.28,13.6
2009-12-31,4.23,$0.10,42.32
