MYR PE Ratio Historical Data,MYR PE Ratio Historical Data,MYR PE Ratio Historical Data,MYR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,124.29,,42.57
2024-06-30,135.71,$2.92,46.48
2024-03-31,176.75,$5.16,34.25
2023-12-31,144.63,$5.42,26.68
2023-09-30,134.76,$5.45,24.73
2023-06-30,138.34,$5.26,26.3
2023-03-31,126.01,$5.08,24.81
2022-12-31,92.07,$4.91,18.75
2022-09-30,84.73,$4.65,18.22
2022-06-30,88.13,$4.91,17.95
2022-03-31,94.04,$5.00,18.81
2021-12-31,110.55,$4.96,22.29
2021-09-30,99.5,$4.83,20.6
2021-06-30,90.92,$4.50,20.2
2021-03-31,71.67,$4.06,17.65
2020-12-31,60.1,$3.48,17.27
2020-09-30,37.18,$3.17,11.73
2020-06-30,31.91,$2.77,11.52
2020-03-31,26.19,$2.40,10.91
2019-12-31,32.59,$2.45,13.3
2019-09-30,31.29,$2.17,14.42
2019-06-30,37.35,$1.96,19.06
2018-12-31,28.17,$1.87,15.06
2018-09-30,32.64,$2.05,15.92
2018-06-30,35.46,$2.01,17.64
2018-03-31,30.82,$1.91,16.14
2017-12-31,35.73,$1.64,21.79
2019-03-31,34.63,$0.89,38.91
2017-09-30,29.14,$0.93,31.33
2017-06-30,31.02,$1.00,31.02
2017-03-31,41.0,$1.24,33.06
2016-12-31,37.68,$1.27,29.67
2016-09-30,30.1,$1.08,27.87
2016-06-30,24.08,$0.99,24.32
2016-03-31,25.11,$1.06,23.69
2015-12-31,20.61,$1.30,15.85
2015-09-30,26.2,$1.67,15.69
2015-06-30,30.96,$1.77,17.49
2015-03-31,31.34,$1.75,17.91
2014-12-31,27.4,$1.70,16.12
2014-09-30,24.08,$1.50,16.05
2014-06-30,25.33,$1.49,17.0
2014-03-31,25.32,$1.45,17.46
2013-12-31,25.08,$1.62,15.48
2013-09-30,24.3,$1.57,15.48
2013-03-31,24.56,$1.64,14.98
2012-12-31,22.25,$1.61,13.82
2012-09-30,19.95,$1.43,13.95
2012-06-30,17.06,$1.46,11.68
2012-03-31,17.86,$1.21,14.76
2011-12-31,19.14,$1.10,17.4
2013-06-30,19.45,$1.03,18.88
2011-09-30,17.64,$0.88,20.05
2011-06-30,23.4,$0.87,26.9
2011-03-31,23.92,$0.85,28.14
2010-12-31,21.0,$0.77,27.27
2010-09-30,16.39,$0.69,23.75
2010-06-30,16.69,$0.78,21.4
2010-03-31,16.31,$0.83,19.65
2009-12-31,18.07,$0.84,21.51
