TreeHouse Foods PE Ratio Historical Data,TreeHouse Foods PE Ratio Historical Data,TreeHouse Foods PE Ratio Historical Data,TreeHouse Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.19,,0.0
2024-06-30,36.64,$-0.27,0.0
2024-03-31,38.95,$0.46,84.67
2023-12-31,41.45,$0.95,43.63
2023-09-30,43.58,$0.40,108.95
2023-06-30,50.38,$-1.34,0.0
2023-03-31,50.43,$-2.28,0.0
2022-12-31,49.38,$-2.60,0.0
2022-09-30,42.42,$-2.71,0.0
2022-06-30,41.82,$-0.98,0.0
2022-03-31,32.26,$-0.30,0.0
2021-12-31,40.53,$-0.22,0.0
2021-09-30,39.88,$0.91,43.82
2021-06-30,44.52,$1.00,44.52
2021-03-31,52.24,$0.82,63.71
2020-12-31,42.49,$0.24,177.04
2020-09-30,40.53,$-0.10,0.0
2020-06-30,43.8,$-3.47,0.0
2020-03-31,44.15,$-6.49,0.0
2019-12-31,48.5,$-6.43,0.0
2019-09-30,55.45,$-6.93,0.0
2019-06-30,54.1,$-3.67,0.0
2019-03-31,64.55,$-0.98,0.0
2018-12-31,50.71,$-1.09,0.0
2018-09-30,47.85,$-6.26,0.0
2018-06-30,52.51,$-5.86,0.0
2018-03-31,38.27,$-6.10,0.0
2017-12-31,49.46,$-5.01,0.0
2017-09-30,67.73,$-4.57,0.0
2017-06-30,81.69,$-4.42,0.0
2017-03-31,84.66,$-3.55,0.0
2016-12-31,72.19,$-4.10,0.0
2016-09-30,87.19,$1.71,50.99
2016-06-30,102.65,$1.71,60.03
2016-03-31,86.75,$2.16,40.16
2015-12-31,78.46,$2.63,29.83
2015-09-30,77.79,$2.56,30.39
2015-06-30,81.03,$2.38,34.05
2015-03-31,85.02,$2.23,38.13
2014-12-31,85.53,$2.20,38.88
2014-09-30,80.5,$2.03,39.66
2014-06-30,80.07,$2.17,36.9
2014-03-31,71.99,$2.10,34.28
2013-12-31,68.92,$2.34,29.45
2013-09-30,66.83,$2.41,27.73
2013-06-30,65.54,$2.40,27.31
2013-03-31,65.15,$2.71,24.04
2012-12-31,52.13,$2.91,17.91
2012-03-31,59.5,$2.62,22.71
2011-12-31,65.38,$2.56,25.54
2011-09-30,61.84,$2.52,24.54
2011-06-30,54.61,$2.23,24.49
2011-03-31,56.87,$2.52,22.57
2010-12-31,51.09,$2.58,19.8
2012-06-30,62.29,$2.28,27.32
2010-09-30,46.1,$2.41,19.13
2010-06-30,45.66,$2.58,17.7
2010-03-31,43.87,$2.56,17.14
2009-12-31,38.86,$2.48,15.67
2009-09-30,35.67,$2.40,14.86
