Triumph Financial PE Ratio Historical Data,Triumph Financial PE Ratio Historical Data,Triumph Financial PE Ratio Historical Data,Triumph Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.11,,147.64
2024-09-30,79.54,$0.59,134.81
2024-06-30,81.75,$1.10,74.32
2024-03-31,79.32,$1.31,60.55
2023-12-31,80.18,$1.60,50.11
2023-09-30,64.79,$1.90,34.1
2023-06-30,60.72,$2.01,30.21
2023-03-31,58.06,$3.46,16.78
2022-12-31,48.87,$3.96,12.34
2022-09-30,54.35,$4.31,12.61
2022-06-30,62.56,$4.63,13.51
2022-03-31,94.02,$3.97,23.68
2021-12-31,119.08,$4.36,27.31
2021-09-30,100.13,$4.59,21.81
2021-06-30,74.25,$4.54,16.35
2021-03-31,77.39,$4.02,19.25
2020-12-31,48.55,$2.52,19.27
2020-09-30,31.14,$1.93,16.13
2020-06-30,24.27,$1.60,15.17
2020-03-31,26.0,$1.52,17.11
2019-12-31,38.02,$2.25,16.9
2019-09-30,31.89,$2.26,14.11
2019-06-30,29.05,$2.04,14.24
2019-03-31,29.39,$2.03,14.48
2018-12-31,29.7,$2.04,14.56
2018-09-30,38.2,$1.66,23.01
2018-06-30,40.75,$1.79,22.77
2018-03-31,41.2,$1.83,22.51
2017-12-31,31.5,$1.82,17.31
2017-09-30,32.25,$1.86,17.34
2017-06-30,24.55,$1.64,14.97
2017-03-31,25.8,$1.38,18.7
2016-12-31,26.15,$1.10,23.77
2016-09-30,19.84,$1.01,19.64
2016-06-30,16.0,$1.08,14.81
2016-03-31,15.83,$1.08,14.66
2015-12-31,16.5,$1.57,10.51
2015-09-30,16.8,$1.47,11.43
