Taylor Morrison Home PE Ratio Historical Data,Taylor Morrison Home PE Ratio Historical Data,Taylor Morrison Home PE Ratio Historical Data,Taylor Morrison Home PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.95,,10.39
2024-06-30,55.44,$6.73,8.24
2024-03-31,62.17,$6.99,8.89
2023-12-31,53.35,$6.98,7.64
2023-09-30,42.61,$7.91,5.39
2023-06-30,48.77,$9.09,5.37
2023-03-31,38.26,$9.42,4.06
2022-12-31,30.35,$9.12,3.33
2022-09-30,23.32,$8.80,2.65
2022-06-30,23.36,$7.42,3.15
2022-03-31,27.22,$5.92,4.6
2021-12-31,34.96,$5.23,6.68
2021-09-30,25.78,$3.76,6.86
2021-06-30,26.42,$3.29,8.03
2021-03-31,30.81,$2.84,10.85
2020-12-31,25.65,$1.83,14.02
2020-09-30,24.59,$1.62,15.18
2020-06-30,19.29,$1.38,13.98
2020-03-31,11.0,$1.64,6.71
2019-12-31,21.86,$2.36,9.26
2019-09-30,25.94,$1.93,13.44
2019-06-30,20.96,$2.13,9.84
2019-03-31,17.75,$1.89,9.39
2018-12-31,15.9,$1.84,8.64
2018-09-30,18.04,$2.02,8.93
2018-06-30,20.78,$1.64,12.67
2018-03-31,23.28,$1.58,14.73
2017-12-31,24.47,$1.47,16.65
2017-09-30,22.05,$1.84,11.98
2017-06-30,24.01,$1.88,12.77
2017-03-31,21.32,$1.79,11.91
2016-12-31,19.26,$1.70,11.33
2016-09-30,17.6,$1.61,10.93
2016-06-30,14.84,$1.49,9.96
2016-03-31,14.12,$1.27,11.12
2015-12-31,16.0,$1.85,8.65
2015-09-30,18.66,$2.15,8.68
2015-06-30,20.36,$2.32,8.78
2015-03-31,20.85,$2.62,7.96
2014-12-31,18.89,$2.16,8.75
2014-09-30,16.22,$2.11,7.69
2014-06-30,22.42,$2.00,11.21
2014-03-31,23.5,$1.71,13.74
