Balchem PE Ratio Historical Data,Balchem PE Ratio Historical Data,Balchem PE Ratio Historical Data,Balchem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,172.03,,47.92
2024-06-30,153.95,$3.59,42.88
2024-03-31,154.95,$3.54,43.77
2023-12-31,148.75,$3.35,44.4
2023-09-30,123.38,$3.19,38.68
2023-06-30,134.1,$3.07,43.68
2023-03-31,125.81,$3.06,41.11
2022-12-31,121.46,$3.25,37.37
2022-09-30,120.23,$3.35,35.89
2022-06-30,128.3,$3.34,38.41
2022-03-31,135.19,$3.12,43.33
2021-12-31,166.73,$2.95,56.52
2021-09-30,142.91,$2.87,49.8
2021-06-30,129.31,$2.76,46.85
2021-03-31,123.55,$2.71,45.59
2020-12-31,113.51,$2.60,43.66
2020-09-30,95.69,$2.55,37.53
2020-06-30,92.98,$2.53,36.75
2020-03-31,96.76,$2.49,38.86
2019-12-31,99.61,$2.51,39.69
2019-09-30,96.72,$2.47,39.16
2019-06-30,97.48,$2.44,39.95
2018-12-31,76.4,$2.43,31.44
2018-09-30,108.6,$3.10,35.03
2018-06-30,95.09,$3.09,30.77
2018-03-31,79.21,$2.98,26.58
2017-12-31,78.09,$2.89,27.02
2019-03-31,90.49,$2.07,43.71
2017-09-30,78.35,$1.99,39.37
2017-06-30,74.9,$1.93,38.81
2017-03-31,79.44,$1.86,42.71
2016-12-31,80.88,$1.75,46.22
2016-09-30,74.38,$1.74,42.74
2016-06-30,57.22,$1.74,32.89
2016-03-31,59.5,$1.77,33.61
2015-12-31,58.33,$1.88,31.02
2015-09-30,57.98,$2.00,28.99
2015-06-30,53.16,$2.05,25.93
2015-03-31,52.84,$1.89,27.96
2014-12-31,63.58,$1.70,37.4
2014-09-30,53.73,$1.44,37.32
2014-06-30,50.87,$1.33,38.25
2014-03-31,49.51,$1.40,35.36
2013-12-31,55.76,$1.47,37.93
2013-09-30,48.93,$1.45,33.75
2013-06-30,42.32,$1.43,29.59
2013-03-31,41.55,$1.38,30.11
2012-12-31,34.47,$1.33,25.92
2012-09-30,34.52,$1.36,25.38
2012-06-30,30.65,$1.32,23.22
2011-12-31,38.1,$1.29,29.53
2011-09-30,34.91,$1.29,27.06
2011-06-30,40.96,$1.24,33.04
2011-03-31,35.11,$1.21,29.01
2010-12-31,31.64,$1.19,26.58
2012-03-31,28.43,$1.12,25.38
2010-09-30,28.75,$1.05,27.38
2010-06-30,23.29,$1.00,23.29
2010-03-31,22.96,$0.96,23.92
2009-12-31,20.81,$0.93,22.3
