Innospec PE Ratio Historical Data,Innospec PE Ratio Historical Data,Innospec PE Ratio Historical Data,Innospec PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,115.74,,19.39
2024-06-30,123.59,$5.97,20.7
2024-03-31,128.19,$5.89,21.76
2023-12-31,122.52,$5.57,22.0
2023-09-30,100.93,$5.08,19.87
2023-06-30,99.2,$5.06,19.6
2023-03-31,100.69,$5.19,19.4
2022-12-31,100.88,$5.32,18.96
2022-09-30,83.53,$5.26,15.88
2022-06-30,93.4,$4.65,20.09
2022-03-31,89.69,$4.26,21.05
2021-12-31,87.55,$3.71,23.6
2021-09-30,81.1,$3.26,24.88
2021-06-30,87.25,$0.70,124.65
2020-12-31,86.88,$1.14,76.21
2020-09-30,60.25,$1.49,40.44
2020-06-30,73.51,$2.20,33.41
2020-03-31,65.61,$4.72,13.9
2019-12-31,97.67,$4.55,21.47
2019-09-30,83.72,$4.12,20.32
2019-06-30,85.69,$3.74,22.91
2019-03-31,77.8,$3.73,20.86
2018-12-31,57.65,$3.46,16.66
2018-09-30,71.22,$2.43,29.31
2018-06-30,71.03,$2.54,27.97
2018-03-31,63.29,$2.71,23.35
2017-12-31,65.13,$2.51,25.95
2017-09-30,56.55,$3.61,15.67
2017-06-30,60.13,$3.13,19.21
2017-03-31,59.03,$3.25,18.16
2016-12-31,62.45,$3.32,18.81
2016-09-30,55.12,$3.70,14.9
2016-06-30,41.69,$4.68,8.91
2016-03-31,39.03,$4.90,7.97
2015-12-31,48.89,$4.85,10.08
2015-09-30,41.64,$4.68,8.9
2015-06-30,40.32,$4.06,9.93
2015-03-31,41.25,$3.41,12.1
2014-12-31,37.97,$3.38,11.23
2014-09-30,31.72,$3.44,9.22
2014-06-30,38.15,$3.19,11.96
2014-03-31,39.71,$3.15,12.61
2013-12-31,40.58,$3.21,12.64
2013-09-30,40.52,$2.57,15.77
2013-06-30,34.89,$2.64,13.22
2013-03-31,38.46,$2.58,14.91
2012-12-31,29.95,$2.77,10.81
2012-09-30,27.7,$3.27,8.47
2012-06-30,24.18,$3.44,7.03
2021-03-31,98.33,$2.11,46.6
2012-03-31,24.81,$2.17,11.43
2011-12-31,22.92,$2.02,11.35
2011-09-30,19.77,$2.18,9.07
2011-06-30,27.45,$4.06,6.76
2011-03-31,26.08,$3.54,7.37
2010-12-31,16.66,$2.96,5.63
2010-09-30,12.44,$1.97,6.31
2010-06-30,7.66,$0.66,11.61
2010-03-31,9.28,$0.30,30.92
2009-12-31,8.24,$0.26,31.69
