Magnite PE Ratio Historical Data,Magnite PE Ratio Historical Data,Magnite PE Ratio Historical Data,Magnite PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.24,,0.0
2024-06-30,13.29,$-0.11,0.0
2024-03-31,10.75,$-0.64,0.0
2023-12-31,9.34,$-1.24,0.0
2023-09-30,7.54,$-1.67,0.0
2023-06-30,13.65,$-1.72,0.0
2023-03-31,9.26,$-1.37,0.0
2022-12-31,10.59,$-0.98,0.0
2022-09-30,6.57,$-0.71,0.0
2022-06-30,8.88,$-0.71,0.0
2022-03-31,13.21,$-0.26,0.0
2021-12-31,17.5,$-0.03,0.0
2021-09-30,28.0,$0.02,1400.0
2021-06-30,33.84,$0.10,338.4
2021-03-31,41.61,$-0.52,0.0
2020-12-31,30.71,$-0.59,0.0
2020-09-30,6.95,$-0.61,0.0
2020-06-30,6.67,$-0.63,0.0
2020-03-31,5.55,$-0.43,0.0
2019-12-31,8.16,$-0.49,0.0
2019-09-30,8.71,$-0.56,0.0
2019-06-30,6.36,$-0.71,0.0
2019-03-31,6.08,$-0.91,0.0
2018-12-31,3.73,$-1.23,0.0
2018-09-30,3.6,$-1.67,0.0
2018-06-30,2.85,$-3.51,0.0
2018-03-31,1.8,$-3.39,0.0
2017-12-31,1.87,$-3.16,0.0
2017-09-30,3.89,$-3.12,0.0
2017-06-30,5.14,$-0.94,0.0
2017-03-31,5.89,$-0.76,0.0
2016-12-31,7.42,$-0.38,0.0
2016-09-30,8.28,$0.49,16.9
2016-06-30,13.65,$0.35,39.0
2016-03-31,18.28,$0.11,166.18
2015-12-31,16.45,$-0.08,0.0
2015-09-30,14.53,$-0.47,0.0
2015-06-30,14.96,$-0.54,0.0
2015-03-31,17.92,$-0.53,0.0
