Canadian Pacific Kansas City PE Ratio Historical Data,Canadian Pacific Kansas City PE Ratio Historical Data,Canadian Pacific Kansas City PE Ratio Historical Data,Canadian Pacific Kansas City PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,81.18,,29.31
2024-06-30,78.56,$2.77,28.36
2024-03-31,87.82,$3.12,28.15
2023-12-31,78.62,$3.14,25.04
2023-09-30,73.86,$3.33,22.18
2023-06-30,80.03,$3.44,23.26
2023-03-31,76.09,$3.02,25.2
2022-12-31,73.63,$2.88,25.57
2022-09-30,65.74,$2.47,26.62
2022-06-30,68.68,$2.29,29.99
2022-03-31,80.99,$3.16,25.63
2021-12-31,70.46,$3.37,20.91
2021-09-30,63.6,$3.69,17.23
2021-06-30,75.0,$3.79,19.77
2021-03-31,73.83,$2.96,24.97
2020-12-31,67.34,$2.69,25.03
2020-09-30,59.0,$2.51,23.53
2020-06-30,49.37,$2.52,19.59
2020-03-31,42.36,$2.62,16.17
2019-12-31,49.04,$2.64,18.58
2019-09-30,42.69,$2.49,17.14
2019-06-30,45.01,$2.48,18.14
2019-03-31,39.32,$2.18,18.02
2018-12-31,33.82,$2.10,16.12
2018-09-30,40.24,$2.58,15.57
2018-06-30,34.67,$2.48,14.0
2018-03-31,33.34,$2.49,13.39
2017-12-31,34.44,$2.55,13.48
2017-09-30,31.59,$1.88,16.8
2017-06-30,30.15,$1.68,17.94
2017-03-31,27.47,$1.53,17.98
2016-12-31,26.63,$1.60,16.68
2016-09-30,28.4,$1.52,18.74
2016-06-30,23.9,$1.47,16.26
2016-03-31,24.54,$1.52,16.15
2015-12-31,23.55,$1.32,17.79
2015-09-30,26.45,$1.44,18.32
2015-06-30,29.46,$1.54,19.13
2015-03-31,33.54,$1.55,21.67
2014-12-31,35.32,$1.49,23.64
2014-09-30,37.97,$1.15,33.13
2014-06-30,33.1,$1.09,30.25
2014-03-31,27.44,$0.98,28.0
2013-12-31,27.54,$0.96,28.69
2013-09-30,22.34,$0.89,24.99
2013-06-30,21.93,$0.80,27.42
2013-03-31,23.51,$0.64,36.74
2012-12-31,18.26,$0.56,32.38
2012-09-30,14.8,$0.80,18.45
2012-06-30,13.02,$0.76,17.13
2012-03-31,13.44,$0.78,17.14
2011-12-31,11.92,$0.66,18.18
2011-09-30,8.44,$0.62,13.61
2011-06-30,10.87,$0.63,17.3
2011-03-31,11.16,$0.68,16.51
2010-12-31,11.19,$0.76,14.8
2010-09-30,10.48,$0.77,13.68
2010-06-30,9.18,$0.76,12.11
2010-03-31,9.59,$0.74,12.99
2009-12-31,9.16,$0.67,13.72
