Chipotle Mexican Grill PE Ratio Historical Data,Chipotle Mexican Grill PE Ratio Historical Data,Chipotle Mexican Grill PE Ratio Historical Data,Chipotle Mexican Grill PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,56.08,,54.94
2024-06-30,62.65,$1.02,61.37
2024-03-31,58.14,$0.94,62.03
2023-12-31,45.74,$0.89,51.57
2023-09-30,36.64,$0.84,43.45
2023-06-30,42.78,$0.80,53.42
2023-03-31,34.17,$0.74,46.21
2022-12-31,27.75,$0.64,43.28
2022-09-30,30.06,$0.57,52.31
2022-06-30,26.15,$0.53,48.94
2022-03-31,31.64,$0.48,65.75
2021-12-31,34.97,$0.50,69.49
2021-09-30,36.35,$0.47,78.04
2021-06-30,31.01,$0.33,94.53
2020-12-31,27.73,$0.25,110.94
2020-09-30,24.87,$0.17,148.77
2020-06-30,21.05,$0.20,105.34
2020-03-31,13.09,$0.26,49.69
2019-12-31,16.74,$0.27,61.15
2021-03-31,28.42,$0.29,99.57
2019-09-30,16.81,$0.22,76.62
2019-06-30,14.66,$0.18,82.72
2019-03-31,14.21,$0.16,91.42
2018-12-31,8.64,$0.12,69.76
2018-09-30,9.09,$0.11,79.32
2018-03-31,6.46,$0.13,48.3
2017-12-31,5.78,$0.12,46.92
2017-09-30,6.16,$0.10,59.66
2017-06-30,8.32,$0.12,67.66
2017-03-31,8.91,$0.08,108.66
2016-12-31,7.55,$0.07,111.96
2018-06-30,8.63,$0.04,222.36
2016-09-30,8.47,$0.05,174.28
2016-06-30,8.06,$0.14,59.67
2016-03-31,9.42,$0.21,45.59
2015-12-31,9.6,$0.30,31.8
2015-09-30,14.41,$0.34,42.97
2015-06-30,12.1,$0.33,37.07
2015-03-31,13.01,$0.31,42.33
2014-12-31,13.69,$0.28,48.44
2014-09-30,13.33,$0.26,52.0
2014-06-30,11.85,$0.23,52.3
2014-03-31,11.36,$0.21,53.34
2013-12-31,10.66,$0.21,50.93
2013-09-30,8.58,$0.20,43.4
2013-06-30,7.29,$0.19,38.39
2013-03-31,6.52,$0.18,35.31
2012-12-31,5.95,$0.18,34.0
2012-09-30,6.35,$0.17,36.88
2012-06-30,7.6,$0.16,46.11
2012-03-31,8.36,$0.15,57.5
2011-12-31,6.75,$0.14,49.89
2011-09-30,6.06,$0.13,46.75
2011-06-30,6.16,$0.12,51.02
2010-12-31,4.25,$0.11,37.71
2010-09-30,3.44,$0.10,33.33
2010-06-30,2.74,$0.10,26.83
2010-03-31,2.25,$0.09,23.87
2009-12-31,1.76,$0.09,19.04
2011-03-31,5.45,$0.09,61.62
