Hanesbrands PE Ratio Historical Data,Hanesbrands PE Ratio Historical Data,Hanesbrands PE Ratio Historical Data,Hanesbrands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.47,,0.0
2024-06-30,4.93,$-0.84,0.0
2024-03-31,5.8,$-1.18,0.0
2023-12-31,4.46,$-0.84,0.0
2023-03-31,5.26,$-0.80,0.0
2022-12-31,6.36,$-0.36,0.0
2022-09-30,6.81,$1.00,6.81
2022-06-30,9.91,$0.66,15.01
2022-03-31,14.16,$0.83,17.07
2021-12-31,15.75,$0.86,18.31
2023-09-30,3.96,$-0.06,0.0
2021-09-30,16.03,$-0.90,0.0
2021-06-30,17.31,$-1.04,0.0
2021-03-31,18.09,$-0.95,0.0
2020-12-31,13.3,$-0.22,0.0
2020-09-30,14.2,$1.24,11.45
2020-06-30,10.08,$1.46,6.91
2020-03-31,6.92,$1.42,4.87
2019-12-31,12.92,$1.66,7.78
2019-09-30,13.2,$1.09,12.11
2019-06-30,14.84,$1.02,14.55
2019-03-31,15.27,$1.07,14.27
2023-06-30,4.54,$1.24,3.66
2018-12-31,10.61,$1.52,6.98
2018-09-30,15.47,$0.02,773.53
2018-06-30,18.33,$0.10,183.33
2018-03-31,15.2,$0.18,84.44
2017-12-31,17.13,$0.15,114.19
2017-09-30,20.03,$1.62,12.36
2017-06-30,18.71,$1.52,12.31
2017-03-31,16.65,$1.39,11.98
2016-12-31,17.18,$1.50,11.45
2016-09-30,20.02,$1.49,13.44
2016-06-30,19.84,$1.27,15.62
2015-12-31,23.04,$1.06,21.74
2015-09-30,22.58,$0.98,23.05
2015-06-30,25.92,$0.79,32.81
2015-03-31,25.98,$0.85,30.57
2014-12-31,21.62,$1.10,19.7
2016-03-31,22.29,$0.98,22.74
2014-09-30,20.75,$0.85,24.41
2014-06-30,18.96,$0.87,21.85
2014-03-31,14.67,$0.79,18.63
2013-12-31,13.43,$0.81,16.53
2013-09-30,11.87,$0.93,12.73
2013-06-30,9.77,$0.90,10.88
2013-03-31,8.62,$0.60,14.3
2012-12-31,6.78,$0.41,16.63
2012-09-30,6.03,$0.31,19.45
2012-06-30,5.25,$0.27,19.79
2012-03-31,5.59,$0.48,11.64
2011-12-31,4.14,$0.67,6.17
2011-09-30,4.73,$0.64,7.39
2011-06-30,5.4,$0.57,9.47
2011-03-31,5.12,$0.57,8.97
2010-12-31,4.8,$0.54,8.9
2010-09-30,4.89,$0.47,10.52
2010-06-30,4.55,$0.42,10.97
2010-03-31,5.26,$0.28,18.96
2009-12-31,4.56,$0.14,33.78
