Constellium SE PE Ratio Historical Data,Constellium SE PE Ratio Historical Data,Constellium SE PE Ratio Historical Data,Constellium SE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.84,,12.47
2024-06-30,18.85,$1.19,15.84
2024-03-31,22.11,$0.90,24.57
2023-12-31,19.96,$0.93,21.46
2023-09-30,18.2,$1.05,17.33
2023-06-30,17.2,$1.47,11.7
2023-03-31,15.28,$0.98,15.59
2022-12-31,11.83,$2.18,5.43
2022-09-30,10.14,$2.04,4.97
2022-06-30,13.21,$1.92,6.88
2022-03-31,18.0,$3.06,5.88
2021-12-31,17.91,$2.10,8.53
2021-09-30,18.78,$2.24,8.38
2021-06-30,18.95,$1.62,11.7
2021-03-31,14.7,$0.48,30.63
2020-12-31,13.99,$-0.15,0.0
2020-09-30,7.85,$-0.19,0.0
2020-06-30,7.68,$-0.33,0.0
2020-03-31,5.21,$0.05,104.2
2019-12-31,13.4,$0.49,27.35
2019-09-30,12.71,$-0.16,0.0
2019-06-30,10.04,$1.62,6.2
2019-03-31,7.98,$1.97,4.05
2018-12-31,6.99,$1.55,4.51
2018-09-30,12.35,$1.27,9.72
2018-06-30,10.3,$-0.28,0.0
2018-03-31,10.85,$-0.59,0.0
2017-12-31,11.15,$-0.24,0.0
2017-09-30,10.25,$0.32,32.03
2017-06-30,6.9,$0.24,28.75
2017-03-31,6.5,$0.17,38.24
2016-12-31,5.9,$-0.05,0.0
2016-09-30,7.2,$-4.30,0.0
2016-06-30,4.69,$-4.94,0.0
2016-03-31,5.19,$-5.53,0.0
2015-12-31,7.7,$-5.78,0.0
2015-09-30,6.06,$-1.50,0.0
2015-06-30,11.83,$-0.88,0.0
2015-03-31,20.32,$-0.04,0.0
2014-12-31,16.43,$0.68,24.16
2014-09-30,24.61,$1.27,19.38
2014-06-30,32.06,$1.71,18.75
2014-03-31,29.35,$1.70,17.26
