Huron Consulting Group PE Ratio Historical Data,Huron Consulting Group PE Ratio Historical Data,Huron Consulting Group PE Ratio Historical Data,Huron Consulting Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.7,,25.46
2024-06-30,98.5,$4.23,23.29
2024-03-31,96.62,$3.47,27.84
2023-12-31,102.8,$3.37,30.5
2023-09-30,104.16,$4.08,25.53
2023-06-30,84.91,$3.64,23.33
2022-12-31,72.6,$3.64,19.95
2022-09-30,66.25,$4.24,15.63
2022-06-30,64.99,$4.02,16.17
2022-03-31,45.81,$3.95,11.6
2021-12-31,49.9,$2.92,17.09
2021-09-30,52.0,$1.19,43.7
2021-06-30,49.15,$1.05,46.81
2021-03-31,50.38,$1.07,47.08
2020-12-31,58.95,$-1.11,0.0
2020-09-30,39.33,$-0.20,0.0
2020-06-30,44.25,$-0.09,0.0
2020-03-31,45.36,$-0.23,0.0
2019-12-31,68.72,$1.86,36.95
2019-09-30,61.34,$1.37,44.77
2019-06-30,50.38,$1.14,44.19
2019-03-31,47.22,$0.92,51.33
2018-12-31,51.31,$0.62,82.76
2018-09-30,49.4,$-0.90,0.0
2018-06-30,40.9,$-1.08,0.0
2018-03-31,38.1,$-8.32,0.0
2017-12-31,40.45,$-7.92,0.0
2017-09-30,34.3,$-6.35,0.0
2017-06-30,43.2,$-5.98,0.0
2017-03-31,42.1,$1.72,24.48
2016-12-31,50.65,$1.75,28.94
2016-09-30,59.76,$2.42,24.69
2016-06-30,60.42,$2.71,22.3
2016-03-31,58.19,$2.83,20.56
2015-12-31,59.4,$2.62,22.67
2015-09-30,62.53,$2.33,26.84
2015-06-30,70.09,$2.00,35.05
2015-03-31,66.15,$2.03,32.59
2014-12-31,68.39,$3.44,19.88
2014-09-30,60.97,$3.83,15.92
2014-06-30,70.82,$4.05,17.49
2014-03-31,63.38,$3.88,16.34
2013-12-31,62.67,$2.90,21.61
2013-09-30,52.61,$2.77,18.99
2013-06-30,46.24,$2.49,18.57
2013-03-31,40.32,$2.09,19.29
2012-12-31,33.69,$1.63,20.67
2012-09-30,34.82,$1.09,31.94
2012-06-30,31.65,$0.64,49.45
2012-03-31,37.56,$0.79,47.54
2011-12-31,38.74,$0.94,41.21
2011-09-30,31.13,$0.47,66.23
2011-06-30,30.21,$0.81,37.3
2011-03-31,27.69,$0.49,56.51
2010-12-31,26.45,$0.42,62.98
2010-09-30,21.99,$1.31,16.79
2010-06-30,19.41,$-2.21,0.0
2010-03-31,20.3,$-1.86,0.0
2009-12-31,23.04,$-1.47,0.0
2009-09-30,25.83,$-1.50,0.0
