Chord Energy PE Ratio Historical Data,Chord Energy PE Ratio Historical Data,Chord Energy PE Ratio Historical Data,Chord Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,130.58,,6.34
2024-06-30,167.68,$20.60,8.14
2024-03-31,178.24,$21.31,8.36
2023-12-31,166.23,$23.53,7.06
2023-09-30,162.07,$25.24,6.42
2023-06-30,153.8,$40.92,3.76
2023-03-31,134.6,$42.19,3.19
2022-12-31,136.81,$59.46,2.3
2022-09-30,136.77,$61.19,2.24
2022-06-30,105.97,$44.20,2.4
2022-03-31,124.6,$41.49,3.0
2021-12-31,104.71,$15.15,6.91
2021-09-30,82.31,$4.78,17.22
