Five Below PE Ratio Historical Data,Five Below PE Ratio Historical Data,Five Below PE Ratio Historical Data,Five Below PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,95.05,,18.71
2024-07-31,72.74,$5.08,14.32
2024-04-30,146.34,$5.32,27.51
2024-01-31,179.46,$5.42,33.11
2023-10-31,173.98,$4.84,35.95
2023-07-31,208.34,$4.87,42.78
2023-04-30,197.36,$4.77,41.38
2023-01-31,197.13,$4.69,42.03
2022-10-31,146.35,$4.11,35.61
2022-07-31,127.07,$4.25,29.9
2022-04-30,157.1,$4.66,33.71
2022-01-31,164.0,$4.95,33.13
2021-10-31,197.3,$4.66,42.34
2021-07-31,194.42,$4.59,42.36
2021-04-30,201.27,$3.97,50.7
2021-01-31,175.73,$2.18,80.61
2020-10-31,133.34,$1.95,68.38
2020-07-31,108.91,$1.77,61.53
2020-04-30,90.16,$1.75,51.52
2020-01-31,113.22,$3.12,36.29
2019-10-31,125.11,$2.74,45.66
2019-07-31,117.46,$2.80,41.95
2019-04-30,146.39,$2.74,53.43
2019-01-31,123.73,$2.67,46.34
2018-10-31,113.82,$2.29,49.7
2018-07-31,97.16,$2.23,43.57
2018-04-30,70.61,$2.08,33.95
2018-01-31,64.93,$1.84,35.29
2017-10-31,55.25,$1.53,36.11
2017-07-31,48.31,$1.45,33.32
2017-04-30,49.12,$1.33,36.93
2017-01-31,39.85,$1.30,30.65
2016-10-31,37.58,$1.17,32.12
2016-07-31,51.01,$1.15,44.36
2016-04-30,41.7,$1.10,37.91
2016-01-31,35.23,$1.06,33.24
2015-10-31,34.34,$0.90,38.16
2015-07-31,36.87,$0.88,41.9
2015-04-30,33.72,$0.90,37.47
2015-01-31,33.32,$0.88,37.86
2014-10-31,39.87,$0.72,55.38
2014-07-31,36.62,$0.69,53.07
2014-04-30,40.31,$0.61,66.08
2014-01-31,36.65,$0.58,63.19
2013-10-31,48.26,$0.48,100.54
2013-07-31,38.86,$0.46,84.48
2013-04-30,35.99,$-3.02,0.0
