Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data,Broadcom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,162.82,,70.03
2024-04-30,129.6,$2.33,55.74
2024-01-31,117.13,$2.70,43.41
2023-10-31,83.13,$3.29,25.24
2023-07-31,88.3,$3.25,27.15
2023-04-30,61.23,$3.19,19.18
2023-01-31,56.76,$2.97,19.11
2022-10-31,45.24,$2.65,17.07
2022-07-31,51.09,$2.31,22.1
2022-04-30,52.47,$2.02,26.01
2022-01-31,55.08,$1.75,31.4
2021-10-31,49.66,$1.50,33.11
2021-07-31,45.01,$1.35,33.39
2021-04-30,41.98,$1.07,39.12
2021-01-31,41.14,$0.86,47.84
2020-10-31,31.67,$0.63,50.35
2020-07-31,28.43,$0.53,53.33
2020-04-30,24.12,$0.56,43.14
2020-01-31,26.65,$0.61,43.97
2019-10-31,25.31,$0.64,39.31
2019-07-31,24.83,$0.71,34.93
2019-04-30,27.01,$0.81,33.3
2019-01-31,22.55,$1.48,15.23
2018-10-31,18.59,$2.83,6.57
2018-07-31,18.31,$2.72,6.74
2018-04-30,18.82,$2.56,7.35
2018-01-31,20.2,$1.83,11.03
2017-10-31,21.35,$0.21,101.67
2017-07-31,19.87,$-0.02,0.0
2017-04-30,17.72,$-0.43,0.0
2016-10-31,13.52,$-0.41,0.0
2016-07-31,12.82,$-0.10,0.0
2016-04-30,11.5,$0.03,338.33
2016-01-31,10.52,$0.42,25.04
2015-10-31,9.66,$0.41,23.49
2017-01-31,15.93,$0.39,41.06
2015-07-31,9.78,$0.38,25.68
2015-04-30,9.11,$0.23,39.27
2015-01-31,8.0,$0.17,46.49
2014-10-31,6.68,$0.10,67.48
2014-07-31,5.35,$0.12,45.76
2014-04-30,4.88,$0.24,20.51
2014-01-31,4.18,$0.22,18.84
2013-10-31,3.46,$0.22,15.8
2013-07-31,2.78,$0.22,12.92
2013-04-30,2.41,$0.22,11.09
2013-01-31,2.68,$0.23,11.86
2012-10-31,2.46,$0.23,10.89
2012-07-31,2.74,$0.22,12.28
2012-04-30,2.55,$0.22,11.47
2012-01-31,2.5,$0.22,11.57
2011-10-31,2.48,$0.23,10.67
2011-07-31,2.46,$0.22,11.12
2011-01-31,2.09,$0.20,10.38
2010-10-31,1.79,$0.17,10.59
2010-07-31,1.58,$0.09,16.79
2010-04-30,1.49,$0.10,15.17
