SJW Group PE Ratio Historical Data,SJW Group PE Ratio Historical Data,SJW Group PE Ratio Historical Data,SJW Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,59.55,,20.26
2024-06-30,53.85,$2.94,18.32
2023-12-31,64.01,$2.67,23.97
2023-09-30,58.54,$3.17,18.47
2023-06-30,67.9,$2.40,28.29
2023-03-31,73.37,$2.64,27.79
2022-12-31,77.88,$2.65,29.39
2024-03-31,55.8,$1.68,33.22
2022-09-30,54.97,$1.92,28.63
2022-06-30,59.23,$1.74,34.04
2022-03-31,65.63,$2.05,32.01
2021-12-31,68.67,$2.02,33.99
2021-09-30,61.68,$1.88,32.81
2021-06-30,58.82,$2.15,27.36
2021-03-31,58.22,$2.15,27.08
2020-12-31,63.79,$2.14,29.81
2020-09-30,55.68,$1.49,37.37
2020-06-30,56.57,$0.91,62.16
2020-03-31,52.33,$0.69,75.84
2019-12-31,64.09,$0.82,78.16
2019-09-30,61.32,$1.39,44.12
2019-06-30,54.32,$1.82,29.84
2019-03-31,55.18,$1.97,28.01
2018-12-31,49.47,$1.82,27.18
2018-09-30,54.13,$2.28,23.74
2018-06-30,58.37,$2.46,23.73
2018-03-31,46.25,$2.74,16.88
2017-12-31,55.71,$3.35,16.63
2017-09-30,49.1,$3.43,14.32
2017-06-30,42.5,$3.31,12.84
2016-12-31,47.94,$2.57,18.66
2016-09-30,37.26,$2.69,13.85
2016-06-30,33.42,$2.23,14.99
2016-03-31,30.66,$1.77,17.32
2015-12-31,24.86,$1.84,13.51
2015-09-30,25.61,$1.33,19.26
2015-06-30,25.39,$2.75,9.23
2015-03-31,25.41,$2.73,9.31
2014-12-31,26.25,$2.54,10.34
2014-09-30,21.83,$2.49,8.77
2014-06-30,21.94,$1.05,20.89
2014-03-31,23.67,$1.08,21.92
2013-12-31,23.7,$1.11,21.35
2013-09-30,22.15,$1.19,18.61
2013-06-30,20.58,$1.28,16.08
2013-03-31,20.66,$1.19,17.36
2012-12-31,20.6,$1.18,17.46
2012-09-30,19.5,$1.22,15.98
2012-06-30,18.32,$1.13,16.21
2012-03-31,18.26,$1.03,17.73
2011-12-31,17.76,$1.26,14.1
2011-09-30,16.25,$0.94,17.28
2017-03-31,41.48,$0.93,44.6
2011-06-30,17.96,$1.32,13.6
2011-03-31,17.02,$1.27,13.4
2010-12-31,19.33,$1.38,14.0
2010-09-30,17.86,$1.38,12.94
2010-06-30,16.88,$1.04,16.23
2009-12-31,16.02,$0.81,19.77
2009-09-30,16.09,$0.72,22.35
