Innoviva PE Ratio Historical Data,Innoviva PE Ratio Historical Data,Innoviva PE Ratio Historical Data,Innoviva PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.17,,12.22
2024-06-30,16.4,$1.65,9.94
2024-03-31,15.24,$2.22,6.86
2023-12-31,16.04,$2.18,7.36
2023-09-30,12.99,$0.44,29.52
2023-06-30,12.73,$2.26,5.63
2023-03-31,11.25,$2.29,4.91
2022-12-31,13.25,$2.07,6.4
2022-09-30,11.61,$3.19,3.64
2022-06-30,14.76,$1.29,11.44
2022-03-31,19.35,$2.14,9.04
2021-12-31,17.25,$2.78,6.21
2021-09-30,16.71,$3.12,5.36
2021-06-30,13.41,$2.48,5.41
2021-03-31,11.95,$2.27,5.26
2020-12-31,12.39,$2.02,6.13
2020-09-30,10.45,$1.96,5.33
2020-06-30,13.98,$2.06,6.79
2020-03-31,11.76,$1.71,6.88
2019-12-31,14.16,$1.43,9.9
2019-09-30,10.54,$3.35,3.15
2019-06-30,14.56,$3.42,4.26
2019-03-31,14.03,$3.56,3.94
2018-12-31,17.45,$3.52,4.96
2018-09-30,15.24,$1.63,9.35
2018-06-30,13.8,$1.41,9.79
2018-03-31,16.67,$1.23,13.55
2017-12-31,14.19,$1.11,12.78
2017-09-30,14.12,$0.87,16.23
2017-06-30,12.8,$0.78,16.41
2017-03-31,13.83,$0.60,23.05
2016-12-31,10.7,$0.49,21.84
