Scorpio Tankers PE Ratio Historical Data,Scorpio Tankers PE Ratio Historical Data,Scorpio Tankers PE Ratio Historical Data,Scorpio Tankers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.24,,5.21
2024-06-30,80.86,$12.72,6.36
2024-03-31,70.79,$10.78,6.57
2023-12-31,59.81,$9.94,6.02
2023-09-30,52.9,$11.97,4.42
2023-06-30,45.93,$14.35,3.2
2023-03-31,54.46,$15.01,3.63
2022-12-31,51.82,$10.22,5.07
2022-09-30,40.43,$5.02,8.05
2022-06-30,33.11,$-0.63,0.0
2022-03-31,20.44,$-4.66,0.0
2021-12-31,12.18,$-4.29,0.0
2021-09-30,17.49,$-4.87,0.0
2021-06-30,20.68,$-3.90,0.0
2021-03-31,17.23,$-0.53,0.0
2020-12-31,10.38,$1.44,7.21
2020-09-30,10.18,$3.06,3.33
2020-06-30,11.69,$2.50,4.67
2020-03-31,17.34,$-0.52,0.0
2019-12-31,35.51,$-1.04,0.0
2019-09-30,26.78,$-1.63,0.0
2019-06-30,26.48,$-3.00,0.0
2019-03-31,17.73,$-3.88,0.0
2018-12-31,15.73,$-5.78,0.0
2018-09-30,17.96,$-9.20,0.0
2017-12-31,26.91,$-7.60,0.0
2017-09-30,30.17,$-7.90,0.0
2017-06-30,34.82,$-8.00,0.0
2017-03-31,38.85,$-4.00,0.0
2016-12-31,39.55,$-1.60,0.0
2016-09-30,39.29,$2.20,17.86
2016-06-30,34.73,$8.30,4.18
2016-03-31,47.2,$11.30,4.18
2015-12-31,63.49,$12.10,5.25
2015-09-30,71.58,$10.10,7.09
2015-06-30,77.81,$5.60,13.89
2015-03-31,71.68,$2.40,29.86
2014-12-31,65.22,$2.70,24.15
2014-09-30,61.49,$3.00,20.5
2014-06-30,74.48,$3.10,24.02
2014-03-31,72.28,$3.40,21.26
2013-12-31,84.8,$1.40,60.57
2013-09-30,69.77,$-0.00,0.0
2013-06-30,63.94,$-3.00,0.0
2013-03-31,63.3,$-4.30,0.0
2012-12-31,50.45,$-6.50,0.0
2012-09-30,42.58,$-27.50,0.0
2012-06-30,45.35,$-26.70,0.0
2012-03-31,50.1,$-26.70,0.0
2011-12-31,34.7,$-25.90,0.0
2011-09-30,37.47,$-5.10,0.0
2011-06-30,70.89,$-3.80,0.0
2011-03-31,73.23,$-2.60,0.0
2010-12-31,71.74,$0.10,717.43
2010-09-30,80.12,$-0.80,0.0
2010-06-30,81.25,$-0.90,0.0
